# GENERÁLT: eszkozok/ubs_dntg_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSGreekNTDic-v1.1-en.JSON sha256=d84bb9077a43fa4a4f7e571fe2ffa460fa655d7b78439b366281ce527fd56893
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
lexid	strong	igehely	szopozicio	ref_kod
000002001001000	G0002	ApCsel 7:40	6	04400704000006
000002001001000	G0002	Luk 1:5	44	04200100500044
000002001001000	G0002	Zsid 5:4	30	05800500400030
000002001001000	G0002	Zsid 7:11	62	05800701100062
000002001001000	G0002	Zsid 9:4	44	05800900400044
000003001001000	G0003	Jel 9:11	24	06600901100024
000004001001000	G0004	2Kor 11:9	46	04701100900046
000005001001000	G0005	Gal 4:6	36	04800400600036
000005001001000	G0005	Mk 14:36	6	04101403600006
000005001001000	G0005	Róm 8:15	32	04500801500032
000006001001000	G0006	Luk 11:51	6	04201105100006
000006001001000	G0006	Mt 23:35	30	04002303500030
000006001001000	G0006	Zsid 11:4	8	05801100400008
000006001001000	G0006	Zsid 12:24	26	05801202400026
000007001001000	G0007	Mt 1:7	20	04000100700020
000007001001000	G0007	Mt 1:7	22	04000100700022
000007001002000	G0007	Luk 1:5	30	04200100500030
000008001001000	G0008	Mk 2:26	18	04100202600018
000009001001000	G0009	Luk 3:1	66	04200300100066
000010001001000	G0010	Mt 1:13	10	04000101300010
000010001001000	G0010	Mt 1:13	12	04000101300012
000011001001000	G0011	1Pét 3:6	10	06000300600010
000011001001000	G0011	2Kor 11:22	16	04701102200016
000011001001000	G0011	ApCsel 13:26	10	04401302600010
000011001001000	G0011	ApCsel 3:13	6	04400301300006
000011001001000	G0011	ApCsel 3:25	40	04400302500040
000011001001000	G0011	ApCsel 7:16	24	04400701600024
000011001001000	G0011	ApCsel 7:17	26	04400701700026
000011001001000	G0011	ApCsel 7:2	34	04400700200034
000011001001000	G0011	ApCsel 7:32	18	04400703200018
000011001001000	G0011	Gal 3:14	16	04800301400016
000011001001000	G0011	Gal 3:16	6	04800301600006
000011001001000	G0011	Gal 3:18	24	04800301800024
000011001001000	G0011	Gal 3:29	14	04800302900014
000011001001000	G0011	Gal 3:6	4	04800300600004
000011001001000	G0011	Gal 3:7	20	04800300700020
000011001001000	G0011	Gal 3:8	30	04800300800030
000011001001000	G0011	Gal 3:9	18	04800300900018
000011001001000	G0011	Gal 4:22	8	04800402200008
000011001001000	G0011	Jak 2:21	2	05900202100002
000011001001000	G0011	Jak 2:23	18	05900202300018
000011001001000	G0011	Ján 8:33	10	04300803300010
000011001001000	G0011	Ján 8:37	8	04300803700008
000011001001000	G0011	Ján 8:39	16	04300803900016
000011001001000	G0011	Ján 8:39	34	04300803900034
000011001001000	G0011	Ján 8:39	44	04300803900044
000011001001000	G0011	Ján 8:40	36	04300804000036
000011001001000	G0011	Ján 8:52	22	04300805200022
000011001001000	G0011	Ján 8:53	16	04300805300016
000011001001000	G0011	Ján 8:56	2	04300805600002
000011001001000	G0011	Ján 8:57	24	04300805700024
000011001001000	G0011	Ján 8:58	18	04300805800018
000011001001000	G0011	Luk 13:16	8	04201301600008
000011001001000	G0011	Luk 13:28	24	04201302800024
000011001001000	G0011	Luk 16:22	30	04201602200030
000011001001000	G0011	Luk 16:23	26	04201602300026
000011001001000	G0011	Luk 16:24	12	04201602400012
000011001001000	G0011	Luk 16:25	6	04201602500006
000011001001000	G0011	Luk 16:29	6	04201602900006
000011001001000	G0011	Luk 16:30	12	04201603000012
000011001001000	G0011	Luk 19:9	36	04201900900036
000011001001000	G0011	Luk 1:55	16	04200105500016
000011001001000	G0011	Luk 1:73	10	04200107300010
000011001001000	G0011	Luk 20:37	34	04202003700034
000011001001000	G0011	Luk 3:34	12	04200303400012
000011001001000	G0011	Luk 3:8	32	04200300800032
000011001001000	G0011	Luk 3:8	62	04200300800062
000011001001000	G0011	Mk 12:26	50	04101202600050
000011001001000	G0011	Mt 1:1	16	04000100100016
000011001001000	G0011	Mt 1:17	12	04000101700012
