Kulcsszo	Tema	Igehely	Fajl	Strong_ha_van	Talalt_sor
**lehelet / élet lehelete**	Pneumatológia	1Móz 2:7	genezis/1Moz_2v4-7_bovitett.md	H3335	2:7 | יָצַר (וַיִּיצֶר) | *jacar* (*vajjícer*) | H3335 | formálni (mint fazekas az agyagot)
**lehelet / élet lehelete**	Pneumatológia	1Móz 2:7	genezis/1Moz_2v4-7_bovitett.md	H3335	2:7 | יָצַר (וַיִּיצֶר) | *jacar* (*vajjícer*) | H3335 | formálni (mint fazekas az agyagot)
**pneuma/pszükhé megkülönböztetés** ✅ *(lezárva)*	Antropológia	1Móz 2:7	genezis/1Moz_2v4-7_bovitett.md	H3335	2:7 | יָצַר (וַיִּיצֶר) | *jacar* (*vajjícer*) | H3335 | formálni (mint fazekas az agyagot)
**por/formáltatás (jacar-afar) — emberi esendőség**	Antropológia	1Móz 2:7	genezis/1Moz_2v4-7_bovitett.md	H3335	2:7 | יָצַר (וַיִּיצֶר) | *jacar* (*vajjícer*) | H3335 | formálni (mint fazekas az agyagot)
**por/formáltatás (jacar-afar) — emberi esendőség**	Antropológia	1Móz 2:7	genezis/1Moz_2v4-7_bovitett.md	H3335	2:7 | יָצַר (וַיִּיצֶר) | *jacar* (*vajjícer*) | H3335 | formálni (mint fazekas az agyagot)
**por/formáltatás (jacar-afar) — emberi esendőség**	Antropológia	1Móz 3:19	genezis/1Moz_3v7-24_bovitett.md	H6083	3:19 | עָפָר | afar | H6083 (*afar*) | por
**por/formáltatás (jacar-afar) — emberi esendőség**	Antropológia	1Móz 2:7	genezis/1Moz_2v4-7_bovitett.md	H3335	2:7 | יָצַר (וַיִּיצֶר) | *jacar* (*vajjícer*) | H3335 | formálni (mint fazekas az agyagot)
**ige mint megtestesült Logosz**	Krisztológia	1Móz 1:1	genezis/1Moz_1v1_bovitett.md	H7225	1:1 | בְּרֵאשִׁית | *bereshít* | H7225 | kezdetben, a kezdetkor
"**""Kezdetben"" — teremtés Isten szava által**"	Teremtéstan	1Móz 1:1	genezis/1Moz_1v1_bovitett.md	H7225	1:1 | בְּרֵאשִׁית | *bereshít* | H7225 | kezdetben, a kezdetkor
"**""Kezdetben"" — teremtés Isten szava által**"	Teremtéstan	1Móz 1:1	genezis/1Moz_1v1_bovitett.md	H7225	1:1 | בְּרֵאשִׁית | *bereshít* | H7225 | kezdetben, a kezdetkor
