sorszam	level	oldal	bbox	hocr_sor	gepi_jelzesek	itelet
1	14	2	704,419,1729,466	ἤΑβυσσος 2 Αβυσσος	c5_nem_igazolt	
2	14	2	412,523,2046,574	the Revelation (cf. i. 7: ναὶ, ἀμήν), “since it concerns both Jewish and Gentile readers.”	(csak görög, jelzés nélkül)	
3	14	2	412,576,2046,633	He points out that thus it is with this expression; that we never find the words ἡ ἀρχὴ	(csak görög, jelzés nélkül)	
4	14	2	412,637,2046,683	καὶ τὸ τέλος without the éyd— (as may be the case with the other amplifications,	(csak görög, jelzés nélkül)	
5	14	2	411,691,2046,743	πρῶτος καὶ ἔσχ., ὁ dy x.7..); whence it appears that this is the Greek rendering of the	latin_torzkep	
6	14	2	411,749,2045,797	Hebraistically conceived ἐγώ --- 42 (x—n).—If, however, we seek a more particular refer-	latin_torzkep	
7	14	2	411,803,2072,852	ence of the ἐγώ --- 2, we might urge its connection with prophecy, such as in i. 7, xxi. 5,	latin_torzkep	
8	14	2	412,1142,2046,1186	(in Wolf, 1..), Christum esse vitam electorum et spiritum Scripturae. Many monographs on	latin_torzkep	
9	14	2	480,1306,2046,1353	"Αβυσσὸς, ον, from βυσσός Ion. = βυθός, depth, béttém. Hence, 1. bottomless,	c5_nem_igazolt	
10	14	2	406,1363,2045,1411	properly an adjective; eg. ἄβυσσον πέλαγος, βάθος, even πλοῦτος; πρᾶγμα. As a sub-	(csak görög, jelzés nélkül)	
11	14	2	410,1417,2046,1466	stantive, ἡ ἄβυσσος, signifying, 2. abyss, bottomless depth, it is only used in biblical and	latin_torzkep	
12	14	2	410,1472,2046,1522	eccles. Greek. Once in Diog. Laert. Epigr. iv. 27: otro κατῆλθες εἰς μέλαιναν	c5_nem_igazolt, latin_torzkep	
13	14	2	412,1528,2044,1582	Πλουτέως ἄβυσσον. “ Sed a tempore Platonis . . . hic usus alienus est :” Fix in Steph.	c5_nem_igazolt, latin_torzkep	
14	14	2	410,1685,2046,1751	(Suid.: ὑδάτων πλῆθος “πολῦ) = watery deep ; Job xli. 23 = nDWID, In Deut. xxxiii. 13 it	c5_nem_igazolt, latin_torzkep	
15	14	2	410,1755,2045,1800	is not an adj., but is to be construed ἄβυδσοι πηγῶν. In the N. T., Rom. x. 7, τίς κατα-	c5_nem_igazolt	
16	14	2	402,1808,2044,1858	ιβήσεται εἰς τὴν ἄβυσσον; τουτέστιν Χριστὸν ἐκ νεκρῶν ἀναγαγεῖν, the word denotes the	c5_nem_igazolt	
17	14	2	410,1969,2045,2027	Pauline application of the Hebrew expression ὉΠ Ἔν ΟΝ (LXX.: εἰς τὸ πέραν τῆς θαλάσσης),	c5_nem_igazolt	
18	14	2	410,2036,2045,2080	Deut. xxx. 13, especially since ἄβυσσος is so frequently employed as an antithesis to	(csak görög, jelzés nélkül)	
19	14	2	409,2143,2045,2193	expression ὑποκάτω τῆς γῆς, Rev. v. 3,18; see Phil. ii 10. It is just this antithesis to	(csak görög, jelzés nélkül)	
20	14	2	408,2201,2045,2250	heaven that makes ἄβυσσος a synonym for 48s, wherein that remoteness from heaven	latin_torzkep	
21	14	2	408,2260,2044,2306	which is distinctive of Hades finds full expression—In Rev. ix. 1, 2, Τὸ φρέαρ τῆς ἀβύσσου,	(csak görög, jelzés nélkül)	
22	14	2	408,2317,2044,2361	xx. 1, the depth or abyss appears as the receptacle and prison of destructive powers, over	latin_torzkep	
23	14	2	406,2369,2042,2416	which reigns 6 ἄγγελος τῆς ἀβύσσου, ix. 11. Compare the petition of the demons in	latin_torzkep	
24	14	2	408,2426,2043,2471	Luke viii. 31: ἵνα μὴ ἐπιτάξῃ αὐτοῖς εἰς τὴν ἄβυσσον ἀπελθεῖν.----Τὰ Rev. xvii. 8, xi. 7,	c5_nem_igazolt	
25	14	2	406,2478,2040,2533	ἀναβαίνειν ἐκ τῆς ἀβύσσου is said of the beast; xiii. 18.— In eccles. Greek we find eg.	(csak görög, jelzés nélkül)	
26	14	2	406,2536,2041,2583	ἄβυσσος ζητημάτων ἡ γραφή, Chrys. hom. 23 in Act.; ὃ θεός, ἄβυσσος dv ἀγαθότητος,	(csak görög, jelzés nélkül)	
27	14	2	406,2592,2039,2638	Theodoret, quaest. 4 in Gen.; ἡ ἀπόγνωσις εἰς αὐτὴν κατάγει τῆς κακίας τὴν ἄβυσσον,	c5_nem_igazolt	
28	14	2	396,2645,2039,2725	‘Chrys. ; just as βάθος is used in the New Test. and by ecclesiastical writers (see a.	(csak görög, jelzés nélkül)	
29	79	67	572,373,1574,422	᾿Αδελφότης 67 “ἅδης	c5_nem_igazolt	
30	79	67	287,532,1919,578	Christian community, of the οἰκεῖοι τῆς πίστεως, Gal. vi. 10; οἰκεῖος, syn. συγγενής, opp.	(csak görög, jelzés nélkül)	
31	79	67	287,583,1921,640	ἀλλότριος ; cf. 1 Cor. vii. 12, v. 11, ἐάν τις ἀδελφὸς ὀνομαζόμενος ἢ πόνος K.7.r., 580 that	(csak görög, jelzés nélkül)	
32	79	67	286,645,1921,690	οἱ ἀδελφοί, Acts ix. 30, John xxi. 23, Rom. xvi. 11, etc., denotes those who are united	(csak görög, jelzés nélkül)	
33	79	67	284,757,1920,803	duty in 1 John. ᾿Αδελφή in this sense, Rom. xvi. 1, 1 Cor. vii. 15.—For the import	c5_nem_igazolt	
34	79	67	285,810,1920,860	of the designation, 1 Tim. vi. 2, is important, where, instead of ἀδελφοί in 2a, πιστοὶ	(csak görög, jelzés nélkül)	
35	79	67	285,866,1919,916	καὶ ἀγαπητοὶ οἱ τῆς εὐεργεσίας ἀντιλαμβανόμενοι is substituted in 2b. Cf. also Ψευδά-	c5_nem_igazolt	
36	79	67	284,927,856,971	δελφοι, 2 Cor, xi. 26, Gal. ii. 4.	(csak görög, jelzés nélkül)	
37	79	67	359,1005,1919,1051	᾿Αδελφότης denotes brotherhood, a brotherly or sisterly relation. The word seems	c5_nem_igazolt, latin_torzkep	
38	79	67	286,1170,1919,1219	common kinship in a common behaviour as martyrs; 6. 13, τὰ τῆς ἀδελφότητος φίλτρα	(csak görög, jelzés nélkül)	
39	79	67	287,1223,1917,1280	συναυξάνειν ; e.g. ἡ τῆς εὐψυχίας ἀδελφότης. Transferred to a relationship of friendship in	c5_nem_igazolt, latin_torzkep	
40	79	67	290,1284,1916,1330	1 Mace. xii. 10, τὴν ἀδελφότητα καὶ φιλιὰν ἀνανεώσασθαι (also v. 17).—Then, especially in	c5_nem_igazolt	
41	79	67	278,1396,1917,1443	—the circle of the Christian ἀδελφοί, as in German the words Frewndschaft, Verwandschaft,	(csak görög, jelzés nélkül)	
42	79	67	284,1449,1917,1495	Herrschaft denote both the relationship and the persons spoken of. So 1 Pet. ii. 17, τὴν	latin_torzkep	
43	79	67	283,1505,1914,1550	ἀδελφότητα ἀγαπᾶτε; v. 9, ἡ ἐν κόσμῳ ὑμῶν ἀδελφότης. Cf. Nestor. ad Cyrill. in act.	(csak görög, jelzés nélkül)	
44	79	67	282,1560,1916,1606	ephesin. ο. 11 (in Suic.), πᾶσαν τὴν σύν σοι ἀδελφότητα ἐγώ τε καὶ of σὺν ἐμοὶ mpocayo-	latin_torzkep	
45	79	67	280,1616,1916,1663	ρεύομεν. The corresponding relationship is expressed by φιλαδελφία, Rom. xii. 10, 1 Thess.	(csak görög, jelzés nélkül)	
46	79	67	279,1674,1916,1719	iv. 9, Heb. xiii. 1, 1 Pet. i. 22, 2 Pet. i. 7 (cf. φιλάδελφος, 1 Pet. iii. 8)—a word which	(csak görög, jelzés nélkül)	
47	79	67	280,1784,1915,1831	birth ; and thus the N. T. meaning of the words, ἀδελφός, ἀδελφότης, φιλάδελφος, φιλα-	(csak görög, jelzés nélkül)	
48	79	67	279,1840,1863,1886	δελφία, is a valuable contribution to the reformation wrought in ethics by Christianity.	latin_torzkep	
49	79	67	344,1921,1915,1979	“4δης, ov, 6, from a@ privative and ἐδεῖν = αἴδης, as the reading is in Hom. = the	c5_nem_igazolt	
50	79	67	276,1981,1914,2028	invisible, the invisible land. Plut. Js. οὐ Osir. lxxix. 382 F, τὸ ἀειδὲς καὶ ἀόρατον. Origin-	c5_nem_igazolt	
51	79	67	276,2039,1913,2084	ally only the name of the god of the nether world, who holds rule over the dead; hence	latin_torzkep	
52	79	67	276,2094,1911,2140	eis or ἐν ddov, sc. οἴκῳ, οἶκον, δώματα, in poetry and prose, as also in the LXX. ; ef. Acts ii.	(csak görög, jelzés nélkül)	
53	79	67	279,2145,1913,2200	27,31. Then, also especially later, the place of the dead. Cf. Lucian. de luct. 2, ὁ μὲν δὴ	(csak görög, jelzés nélkül)	
54	79	67	275,2204,1913,2252	πολὺς ὅμιλος,---Ομήρῳ te καὶ “Howd@ καὶ τοῖς ἄλλοις μυθοποιοῖς περὶ τούτων πειθόμενοι	c5_nem_igazolt	
55	79	67	276,2260,1913,2312	καὶ νόμον θέμενοι τὴν ποίησιν αὐτῶν τόπον τινὰ ὑπὸ τῇ γῇ βαθὺν “4δην ὑπειλήφασι, μέγαν	c5_nem_igazolt	
56	79	67	276,2317,1913,2364	δὲ καὶ πολύχωρον τοῦτον εἶναι καὶ ζόφερον καὶ ἀνήλιον «.7.r., where the ideas in question	c5_nem_igazolt	
57	79	67	274,2486,1911,2530	recurs with tolerable unanimity of import amongst the heathen, so far as the faith in per-	latin_torzkep	
58	79	67	275,2597,1912,2641	would thus be the place of assembly and residence for all who depart from the present	latin_torzkep	
59	121	109	278,492,1916,541	to εὐλογία: ἐκ τοῦ αὐτοῦ στόματος ἐξέρχεται εὐλογία καὶ κατάρα. The same antithesis	(csak görög, jelzés nélkül)	
60	121	109	272,661,1917,712	judgment, is meant; κρίσις ἀνέλεος, Jas. ii, 12; cf Deut. xxviii 15 ff Heb. vi. 8, γῆ	latin_torzkep	
61	121	109	279,710,1916,767	.. . ἀδόκιμος καὶ κατάρας ἐγγὺς, ἧς τὸ τέλος εἰς καῦσιν ; 2 Pet. ii. 14, κατάρας τέκνα ; cf.	(csak görög, jelzés nélkül)	
62	121	109	281,766,1916,821	2 Thess. ii. 3, ὁ υἱὸς τῆς ἀπωλειας ; Wisd. xii. 10, 11, σπέρμα ἣν κατηραμένον an’ ἀρχῆς.	c5_nem_igazolt	
63	121	109	267,828,1916,875	‘Gal. iii. 10, ὑπὸ κατάραν εἶναι, opp. to εὐλογεῖσθαι, ver. 9, answers to the ἐπικατάρατος in	(csak görög, jelzés nélkül)	
64	121	109	279,882,1915,931	ver. 10 (q.v.); ver. 13, ἡ κατάρα Tod νόμου, is the curse pronounced in the law, cf. Dan.	(csak görög, jelzés nélkül)	
65	121	109	277,993,1916,1043	manifested curse. Here we have the explanation of the expression Χριστὸς γενόμενος	(csak görög, jelzés nélkül)	
66	121	109	278,1053,1915,1099	ὑπὲρ ἡμῶν κατάρα =the realized sentence of curse and Christ are not to be separated from	(csak görög, jelzés nélkül)	
67	121	109	276,1106,1915,1153	each other; cf. 2 Cor. vi. 21, ὑπὲρ ἡμῶν Χριστὸν ἁμαρτίαν ἐποίησεν, ἵνα ἡμεῖς γινώμεθα	(csak görög, jelzés nélkül)	
68	121	109	278,1153,1911,1210	δικαιοσύνη θεοῦ; Isa. xix. 24, 25, nim isa wx PINT TPZ ADI OMe MM; Ezek.	latin_torzkep	
69	121	109	278,1275,1913,1320	εὐλογημένος (Zech., 1..., ἐν εὐλογίᾳ), as in Deut. xxi. 23 (Gal. iii. 13) they render the	(csak görög, jelzés nélkül)	
70	121	109	277,1322,1912,1377	abstract 795? by κεκατηραμένος. Cf. Aesch. Choeph. 1025, μητέρα, θεῶν στύγος. Eurip.	(csak görög, jelzés nélkül)	
71	121	109	277,1383,1912,1432	Here. fur. 458 sq., ἔτεκον μὲν ὑμᾶς, πολεμίοις ἐθρεψάμην ὕβρισμα κἀπίχαρμα καὶ διαφ-	c5_nem_igazolt	
72	121	109	277,1431,865,1488	Oopdv.—LXX. = 79>p, τρις, ΠΝ,	c5_nem_igazolt	
73	121	109	353,1520,1912,1566	Καταράομαι, to wish any one evil or ruin, to curse, opp. to εὐλογεῖν. In	c5_nem_igazolt	
74	121	109	275,1728,1718,1788	cursed is a settled fact. Cf Deut. xxi. 23—LXX.= 718 Shp. and other words.	heberdetektor, latin_torzkep	
75	121	109	352,1829,1912,1874	Ἐπικατάρατος, verbal adj., from ἐπικαταράομαι, to lay a curse on, or to connect	c5_nem_igazolt	
76	121	109	274,1884,1909,1929	ἐξ with anything, LXX., instead of the word ἐπαράομαι, usual in classical Greek. Num.	(csak görög, jelzés nélkül)	
77	121	109	275,1940,1911,1984	v. 19, 23, 24; Mal. 11. 7= 78; Num. xxii. 17, xxiii. 7. Hence ἐπικατάρατος, one on	(csak görög, jelzés nélkül)	
78	121	109	271,1997,1911,2040	whom the curse rests, or in whom it is realized. In Gal. iii. 10, corresponding with ὑπὸ	(csak görög, jelzés nélkül)	
79	121	109	276,2052,1911,2098	κατάραν εἰσίν; ver. 13, ἐπικ. πᾶς ὁ κρεμάμενος ἐπὶ ξύλου. LXX. = WR, Gen. iii. 14,17,	(csak görög, jelzés nélkül)	
80	121	109	275,2107,1911,2152	iv. 11; cf. Prov. xxiv. 24, parallel with μισηθός. Isa. Ixv. 20; Wisd. iii. 12, xiv. 8;	c5_nem_igazolt	
81	121	109	276,2162,1911,2208	Tob. xiii. 12, opp. to εὐλογημένος.---Τὴ John vii. 49, Lachm. and Tisch. read ὁ ὄχλος οὗτος	c5_nem_igazolt	
82	121	109	273,2216,1771,2264	ὁ ut) γινώσκων νόμον ἐπάρατοί eioww—instead of ἐπικατάρατοι---ἶπι the same sense.	c5_nem_igazolt	
83	121	109	354,2331,1909,2374	"A pety, ἡ, “quaclibet ret praestantia,” Sturz, lex. Xen. According to Curtius, from	(csak görög, jelzés nélkül)	
84	121	109	276,2385,1910,2430	the root ap, which we find in ἀραρίσκω, to join to, ἄρτιος, fitted to, becoming, of the insepar-	latin_torzkep	
