level	model	bemenet_token	kimenet_token	gondolkodas_token	koltseg_usd	koltseg_forras	futo_osszeg_usd	kiserletek
17	qwen/qwen3-vl-32b-instruct	12466	1872	0	0.002075	openrouter	0.002075	1
17	google/gemini-3.8-flash	10924	2946	0	0.019241	openrouter	0.021316	1
82	qwen/qwen3-vl-32b-instruct	18429	10972	0	0.002323	openrouter	0.023639	2
82	google/gemini-3.8-flash	10858	3174	0	0.020046	openrouter	0.043685	1
124	qwen/qwen3-vl-32b-instruct	13567	3028	0	0.002671	openrouter	0.046356	1
124	google/gemini-3.8-flash	11999	3303	0	0.021386	openrouter	0.067741	1
350	qwen/qwen3-vl-32b-instruct	28968	10989	0	0.007584	openrouter	0.075325	2
350	google/gemini-3.8-flash	12903	3283	0	0.021989	openrouter	0.097314	1
628	qwen/qwen3-vl-32b-instruct	10212	1492	0	0.001683	openrouter	0.098997	1
628	google/gemini-3.8-flash	8522	1505	0	0.012035	openrouter	0.111032	1
760	qwen/qwen3-vl-32b-instruct	24292	34238	0	0.016769	openrouter	0.127801	2
760	google/gemini-3.8-flash	10517	2509	0	0.017296	openrouter	0.145098	1
934	qwen/qwen3-vl-32b-instruct	13220	3917	0	0.003004	openrouter	0.148102	1
934	google/gemini-3.8-flash	11671	3011	0	0.020044	openrouter	0.168147	1
950	qwen/qwen3-vl-32b-instruct	18343	3145	0	0.003216	openrouter	0.171363	1
950	google/gemini-3.8-flash	16911	2345	0	0.021477	openrouter	0.19284	1
28	qwen/qwen3-vl-32b-instruct	14175	3532	0	0.002944	openrouter	0.195783	1
28	google/gemini-3.8-flash	12604	3526	0	0.022676	openrouter	0.218459	1
209	qwen/qwen3-vl-32b-instruct	14734	6543	0	0.004254	openrouter	0.222713	1
209	google/gemini-3.8-flash	13017	5064	0	0.028753	openrouter	0.251466	1
252	qwen/qwen3-vl-32b-instruct	26322	16444	0	0.009578	openrouter	0.261044	2
252	google/gemini-3.8-flash	11630	3253	0	0.020921	openrouter	0.281965	1
253	qwen/qwen3-vl-32b-instruct	11886	2395	0	0.002232	openrouter	0.284197	1
253	google/gemini-3.8-flash	10351	2553	0	0.017337	openrouter	0.301534	1
300	qwen/qwen3-vl-32b-instruct	10350	1982	0	0.001901	openrouter	0.303435	1
300	google/gemini-3.8-flash	8842	2110	0	0.014544	openrouter	0.317979	1
354	qwen/qwen3-vl-32b-instruct	11146	1471	0	0.001771	openrouter	0.319751	1
354	google/gemini-3.8-flash	9533	2254	0	0.015602	openrouter	0.335353	1
380	qwen/qwen3-vl-32b-instruct	29828	65536	0	0.030365	openrouter	0.365718	2
380	google/gemini-3.8-flash	13298	5194	0	0.029451	openrouter	0.395169	1
432	qwen/qwen3-vl-32b-instruct	15393	20431	0	0.0101	openrouter	0.405269	1
432	google/gemini-3.8-flash	13734	4876	0	0.028585	openrouter	0.433855	1
506	qwen/qwen3-vl-32b-instruct	10370	2370	0	0.002064	openrouter	0.435919	1
506	google/gemini-3.8-flash	8755	1500	0	0.012191	openrouter	0.44811	1
659	qwen/qwen3-vl-32b-instruct	10162	1331	0	0.001611	openrouter	0.449721	1
659	google/gemini-3.8-flash	8623	1437	0	0.011856	openrouter	0.461577	1
805	qwen/qwen3-vl-32b-instruct	28304	36933	0	0.018308	openrouter	0.479884	2
805	google/gemini-3.8-flash	12626	4491	0	0.026311	openrouter	0.506195	1
824	qwen/qwen3-vl-32b-instruct	12573	3534	0	0.002778	openrouter	0.508973	1
824	google/gemini-3.8-flash	10875	3064	0	0.019646	openrouter	0.528619	1
