level	model	bemenet_token	kimenet_token	gondolkodas_token	koltseg_usd	koltseg_forras	futo_osszeg_usd	kiserletek
17	openai/gpt-5-mini	11443	1857	0	0.006575	openrouter	0.006575	1
17	google/gemini-3.8-flash	10924	2946	0	0.019241	openrouter	0.025815	1
124	openai/gpt-5-mini	12242	2159	0	0.004786	openrouter	0.030602	1
124	google/gemini-3.8-flash	11999	3303	0	0.021386	openrouter	0.051987	1
209	openai/gpt-5-mini	13103	3086	0	0.006654	openrouter	0.058641	1
209	google/gemini-3.8-flash	13017	5064	0	0.028753	openrouter	0.087394	1
432	openai/gpt-5-mini	13544	2707	0	0.00592	openrouter	0.093314	1
432	google/gemini-3.8-flash	13734	4876	0	0.028585	openrouter	0.1219	1
805	openai/gpt-5-mini	12668	2855	0	0.00617	openrouter	0.128069	1
805	google/gemini-3.8-flash	12626	4491	0	0.026311	openrouter	0.15438	1
