level	model	bemenet_token	kimenet_token	gondolkodas_token	koltseg_usd	koltseg_forras	futo_osszeg_usd	kiserletek
17	openai/gpt-5-mini	11443	1857	0	0.006575	openrouter	0.006575	1
17	google/gemini-3.1-flash-lite	11048	8925	5392	0.01615	openrouter	0.022724	1
124	openai/gpt-5-mini	12242	2159	0	0.004786	openrouter	0.027511	1
124	google/gemini-3.1-flash-lite	12123	4839	0	0.008011	openrouter	0.035522	1
209	openai/gpt-5-mini	13103	3086	0	0.006654	openrouter	0.042176	1
209	google/gemini-3.1-flash-lite	13335	9396	3103	0.014691	openrouter	0.056868	1
432	openai/gpt-5-mini	13544	2707	0	0.00592	openrouter	0.062788	1
432	google/gemini-3.1-flash-lite	27716	31972	30720	0.054887	openrouter	0.117675	2
805	openai/gpt-5-mini	12668	2855	0	0.00617	openrouter	0.123844	1
805	google/gemini-3.1-flash-lite	12750	6305	0	0.012645	openrouter	0.136489	1
