fajl	sorok	oszlopok	eltero_mezo	eltero_sor	erintett_oszlopok
Angol_konyvnev_STEPBible_tabla.tsv	67	2	0	0	(nincs eltérés)
ASV_Strongs_Exodus.tsv	12120	4	0	0	(nincs eltérés)
ASV_Strongs_Genesis.tsv	14918	4	0	0	(nincs eltérés)
ASV_Strongs_Proverbs.tsv	5873	4	0	0	(nincs eltérés)
BDB_teljes_unabridged.tsv	8091	3	0	0	(nincs eltérés)
Betu_utotag_kizarva.tsv	136	4	0	0	(nincs eltérés)
Karoli_1908.tsv	31159	2	0	0	(nincs eltérés)
Karoli_adatminosegi_anomaliak.tsv	15	5	0	0	(nincs eltérés)
Karoli_kereszthivatkozasok.tsv	32408	3	0	0	(nincs eltérés)
Karoli_Strong_kivonat.tsv	384	8	0	0	(nincs eltérés)
Karoli_ures_helyorzo_sorok.tsv	40	7	0	0	(nincs eltérés)
KJV_Strongs_Exodus.tsv	12254	5	0	0	(nincs eltérés)
KJV_Strongs_Genesis.tsv	15099	5	0	0	(nincs eltérés)
KJV_Strongs_Proverbs.tsv	5946	5	0	0	(nincs eltérés)
Konyv_normalizalo_tabla.tsv	67	3	0	0	(nincs eltérés)
LSJ_teljes.tsv	5523	3	0	0	(nincs eltérés)
LXX_kivonat_Abdias.tsv	473	5	0	0	(nincs eltérés)
LXX_kivonat_Aggeus.tsv	948	5	0	0	(nincs eltérés)
LXX_kivonat_Amos.tsv	3211	5	0	0	(nincs eltérés)
LXX_kivonat_Birak.tsv	15948	5	0	0	(nincs eltérés)
LXX_kivonat_Daniel.tsv	9358	5	0	0	(nincs eltérés)
LXX_kivonat_Deuteronomium.tsv	22991	5	0	0	(nincs eltérés)
LXX_kivonat_Enekek_Eneke.tsv	2005	5	0	0	(nincs eltérés)
LXX_kivonat_Eszter.tsv	3758	5	0	0	(nincs eltérés)
LXX_kivonat_Exodus.tsv	24423	5	0	0	(nincs eltérés)
LXX_kivonat_Ezekiel.tsv	29659	5	0	0	(nincs eltérés)
LXX_kivonat_Ezsaias.tsv	27038	5	0	0	(nincs eltérés)
LXX_kivonat_Ezsdras.tsv	5587	5	0	0	(nincs eltérés)
LXX_kivonat_Genezis.tsv	32566	5	0	0	(nincs eltérés)
LXX_kivonat_Habakuk.tsv	1106	5	0	0	(nincs eltérés)
LXX_kivonat_Hoseas.tsv	3860	5	0	0	(nincs eltérés)
LXX_kivonat_Jeremias.tsv	28409	5	0	0	(nincs eltérés)
LXX_kivonat_Job.tsv	13292	5	0	0	(nincs eltérés)
LXX_kivonat_Joel.tsv	1581	5	0	0	(nincs eltérés)
LXX_kivonat_Jonas.tsv	1070	5	0	0	(nincs eltérés)
LXX_kivonat_Jozsue.tsv	14437	5	0	0	(nincs eltérés)
LXX_kivonat_Kiralyok_1.tsv	18737	5	0	0	(nincs eltérés)
LXX_kivonat_Kiralyok_2.tsv	18782	5	0	0	(nincs eltérés)
LXX_kivonat_Kronikak_1.tsv	16236	5	0	0	(nincs eltérés)
LXX_kivonat_Kronikak_2.tsv	21038	5	0	0	(nincs eltérés)
LXX_kivonat_Leviticus.tsv	19083	5	0	0	(nincs eltérés)
LXX_kivonat_Malakias.tsv	1417	5	0	0	(nincs eltérés)
LXX_kivonat_Mikeas.tsv	2369	5	0	0	(nincs eltérés)
LXX_kivonat_Nahum.tsv	938	5	0	0	(nincs eltérés)
LXX_kivonat_Nehemias.tsv	7677	5	0	0	(nincs eltérés)
LXX_kivonat_Numeri.tsv	25047	5	0	0	(nincs eltérés)
LXX_kivonat_Peldabeszedek.tsv	8910	5	0	0	(nincs eltérés)
LXX_kivonat_Predikator.tsv	4547	5	0	0	(nincs eltérés)
LXX_kivonat_Ruth.tsv	2073	5	0	0	(nincs eltérés)
LXX_kivonat_Samuel_1.tsv	20095	5	0	0	(nincs eltérés)
LXX_kivonat_Samuel_2.tsv	17915	5	0	0	(nincs eltérés)
LXX_kivonat_Siralmak.tsv	2350	5	0	0	(nincs eltérés)
LXX_kivonat_Sofonias.tsv	1224	5	0	0	(nincs eltérés)
LXX_kivonat_Zakarias.tsv	4964	5	0	0	(nincs eltérés)
LXX_kivonat_Zsoltarok.tsv	34849	5	0	0	(nincs eltérés)
LXX_tobblet_szakaszok.tsv	107	9	0	0	(nincs eltérés)
LXX_versificacios_terkep.tsv	5427	6	0	0	(nincs eltérés)
Nem_parszolhato_terkep_ertekek.tsv	146	4	0	0	(nincs eltérés)
SECE_G_teljes.tsv	5524	3	0	0	(nincs eltérés)
SECE_H_teljes.tsv	8675	3	0	0	(nincs eltérés)
Strong_szotar.tsv	14348	6	0	0	(nincs eltérés)
TAGNT_kivonat.tsv	141747	8	0	0	(nincs eltérés)
TAHOT_kivonat.tsv	468969	7	0	0	(nincs eltérés)
TAHOT_kivonat_nyitott_esetek.tsv	333	10	0	0	(nincs eltérés)
Thayer_teljes.tsv	5427	3	0	0	(nincs eltérés)
TIPNR_kivonat.tsv	35523	5	0	0	(nincs eltérés)
TSK_kereszthivatkozasok.tsv	432950	4	0	0	(nincs eltérés)
Verzifikacios_elteres_tabla.tsv	9	6	0	0	(nincs eltérés)
