strong	csoport	hossz	forras_hash
G0002	V	469	7f499ab5ec29bb05bc90fa56ccd4879174be4534
G0004	V	220	d27b4499ea23e46fc70f5f4952e89dc6f92069b9
G0012	E	1142	d0a8decf3ed3361ae1e5abfe2eaca7ce135c3435
G0035	N	186	f466000e255b5063e4d7e41fd04bceb82e50203f
G0086	E	1770	c3a79837bdfbbd6b041fafcaf051440aff6c149b
G0282	E	702	bda0a77cb9ba8c8e4b52618b1f8031d43cc4c61c
G0540	N	214	f8f1de16f7835e1deeede1c6aa75cd2aea40a351
G0813	E	342	bda47a0ff5b05245574209b5b16a4f2661dbb315
G0994	E	661	4a651f576e0f8c552d06ec81369e2857ecd091d2
G1311	E	787	5227e199045c4cff2ad025e21256c932ae3bd5d5
G1941	A	3746	89b25a36c51ef3891e1c8fe00af41482b807520b
G1944	E	337	f07596094b915d4d06920f0a5ba01b7f4b3331ff
G2671	E	804	49590b1f5881b35c1aee932b1b00e0c107a43390
G2672	N	1025	abbef1558edc3f2982353c39cf78d07d75b15419
G3777	V	2345	d59cee949e475d5094bc24197292939983c4ce1f
G4151	E	23705	695a977c32710cb46a25383bdabd48a095037720
G5010	E	946	67db71d7b5e1cf0bb21f250da817022a31cb43ac
G5351	E	1394	997faf12e6b041468f4d794f89973587028a75f0
G5356	E	975	2994915b3a24234b348ea0cf19ed3301ff5290b7
G5590	E	5950	aaf77949eefa1168f62295aa5c357d4e9c7ddadd
