szotar	strong	entry_id	jelentes_szam	mezo	forras_hash	forditas_hu	allapot	modell	datum	terminologia_verzio
Thayer	G0002	G2	teljes	forditas_hu	7f499ab5ec29bb05bc90fa56ccd4879174be4534	Ἀαρών ragozhatatlan tulajdonnév (ὁ Ἀαρών, (ῶνος Josephusnál), אַהֲרֹן (a használaton kívüli héber gyökből אָהַר — Syriac )rYha ( )libidinosus,lascivus — megvilágosodott, Fürst; Dietrich szerint gazdag, vagy folyékony, mint אומָר, Philo szerint, de ebriet. § 32, a הַר hegy szóból, ami egyenlő ὀρεινός), Áron, Mózes testvére, az izraeliták első főpapja és az egész papi rend feje: Luk 1:5; ApCsel 7:40; Zsid 5:4; Zsid 7:11; Zsid 9:4.	pilot	deepseek/deepseek-v4-flash	2026-09-26	v1
Thayer	G0002	G2	teljes	forditas_hu	7f499ab5ec29bb05bc90fa56ccd4879174be4534	Ἀαρών ragozhatatlan tulajdonnév (ὁ Ἀαρών, (ῶνος Josephusnál), אַהֲרֹן (a nem használt héber אָהַר gyökből — szír )rYha ( )libidinosus,lascivus — megvilágosult, Fürst; Dietrich szerint gazdag, vagy folyékony, mint אומָר, Philo szerint, de ebriet. § 32, a הַר hegy szóból és egyenértékű ezzel: ὀρεινός), Áron, Mózes testvére, az izraeliták első főpapja és az egész papi rend feje: Luk 1:5; ApCsel 7:40; Zsid 5:4; Zsid 7:11; Zsid 9:4.	pilot	google/gemini-3.8-flash	2026-09-26	v1
Thayer	G0002	G2	teljes	forditas_hu	7f499ab5ec29bb05bc90fa56ccd4879174be4534	Ἀαρών indeclinable proper name (ὁ Ἀαρών, (ῶνος in Josephus), אַהֲרֹן (from the unused Hebrew radical אָהַר — Syriac )rYha ( )libidinosus,lascivus — enlightened, Fürst; according to Dietrich wealthy, or fluent, like אומָר, according to Philo, de ebriet. § 32, from הַר mountain and equivalent to ὀρεινός), Áron, Mózes testvére, az izraeliták első főpapja és az egész papság rendjének feje: Luk 1:5; ApCsel 7:40; Zsid 5:4; Zsid 7:11; Zsid 9:4.	pilot	anthropic/claude-haiku-4.5	2026-09-26	v1
Thayer	G0004	G4	teljes	forditas_hu	d27b4499ea23e46fc70f5f4952e89dc6f92069b9	ἀβαρής (ές (βάρος súly), súly nélküli, könnyű; átvitt értelemben, nem terhes: ἀβαρῆ ὑμῖν, ἐμαυτόν ἐτήρησα Elkerültem, hogy a magam miatti költséggel terheljelek, 2Kor 11:9; l. 1Thessz 2:9, vö. 6. (Arisztotelésztől kezdve.)	pilot	deepseek/deepseek-v4-flash	2026-09-26	v1
Thayer	G0004	G4	teljes	forditas_hu	d27b4499ea23e46fc70f5f4952e89dc6f92069b9	ἀβαρής (ές (βάρος súly), súlytalan, könnyű; átvitt értelemben, nem terhes: ἀβαρῆ ὑμῖν, ἐμαυτόν ἐτήρησα elkerültem, hogy miattam költségekkel terheljelek titeket, 2Kor 11:9; l. 1Thessz 2:9, vö. 6. (Arisztotelésztől kezdve.)	pilot	google/gemini-3.8-flash	2026-09-26	v1
Thayer	G0004	G4	teljes	forditas_hu	d27b4499ea23e46fc70f5f4952e89dc6f92069b9	ἀβαρής (ές (βάρος súly), súly nélküli, könnyű; átvitt értelemben, nem terhelő: ἀβαρῆ ὑμῖν, ἐμαυτόν ἐτήρησα nem akartam terhelni benneteket költséggel az én részem miatt, 2Kor 11:9; l. 1Thessz 2:9, vö. 6. (Arisztotelész óta.)	pilot	anthropic/claude-haiku-4.5	2026-09-26	v1
Thayer	G0012	G12	teljes	forditas_hu	d0a8decf3ed3361ae1e5abfe2eaca7ce135c3435	G12 — ἄβυσσος a klasszikus görögben melléknév, (ος, (a ὁ βύσσος-ból, egyenértékű a βυθός-szal), feneketlen (így talán a Wis. 10:19-ben), határtalan (πλοῦτος ἄβυσσος, Aiszkhülosz, a Sept. (931) 950). A Szentírásban ἡ ἄβυσσος (a Sept. a תְּהום helyett), tudniillik χώρα, a verem, a mérhetetlen mélység, a mélység. Innen a 'mély' tengerre: 1Móz 1:2; 1Móz 7:11; 5Móz 8:7; Sir. 1:3; Sir. 16:18, stb.; az Orcusra (egy nagyon mély szakadék vagy hasadék a föld legalsó részein: Zsolt 70:20 ἐκ τῶν ἀβύσσων τῆς τῆς, Euripidész, Phoen. 1632 (1605) ταρτάρου ἄβυσσα χάσματα, Római Kelemen, 1Kor 20, 5 [ET] ἀβύσσων ἀνεξιχνίαστα κλίματα, uo. 59, 3 [ET] ὁ ἐπιβλέπων ἐν ταῖς ἀβύσσοις, Istentől; (Act. Thom. 32 ὁ τήν ἄβυσσον τοῦ ταρτάρου οἴκων, a sárkányról)), mind a halottak közös befogadóhelyeként, Róm 10:7, és különösen mint a démonok lakhelye, Luk 8:31; Jel 9:1; Jel 9:11; Jel 11:7; Jel 17:8; Jel 20:1, Jel 20:3. A világi szerzőknél főnévként csak Diogenész Laertiosz 4 (5) 27 κατῆλθες εἰς μέλαιναν Πλουτέως ἄβυσσον. Vö. Knapp, Scripta var. Arg., o. 554k; (J. G. Müller, Philo's Lehre von der Weltschöpfung, o. 173k; B. D. American edition a szó alatt).	pilot	deepseek/deepseek-v4-flash	2026-09-26	v1
Thayer	G0012	G12	teljes	forditas_hu	d0a8decf3ed3361ae1e5abfe2eaca7ce135c3435	ἄβυσσος a klasszikus görögben melléknév, (ος, (a βυθός szóval egyenértékű ὁ βύσσος szóból), feneketlen (így talán a Wis. 10:19-ben), határtalan (πλοῦτος ἄβυσσος, Aeschylus, the Sept. (931) 950). A Szentírásban ἡ ἄβυσσος (a Septuaginta a תְּהום szóra) ti. χώρα, a verem, a mérhetetlen mélység, a mélység. Innen a tenger „mélységére”: 1Móz 1:2; 1Móz 7:11; 5Móz 8:7; Sir. 1:3 Sir. 16:18, stb.; az Orkusznak (egy nagyon mély öböl vagy szakadék a föld legalsó részein: Zsolt 70:20 ἐκ τῶν ἀβύσσων τῆς γῆς, Euripides, Phoen. 1632 (1605) ταρτάρου ἄβυσσα χάσματα, Római Kelemen, 1 Kor. 20, 5 [ET] ἀβύσσων ἀνεξιχνίαστα κλίματα, uo. 59, 3 [ET] ὁ ἐπιβλέπων ἐν ταῖς ἀβύσσοις, Istenre; (Act. Thom. 32 ὁ τήν ἄβυσσον τοῦ ταρτάρου οἴκων, a sárkányra)), mind mint a halottak közös befogadóhelye, Róm 10:7, mind különösen mint a démonok lakóhelye, Luk 8:31; Jel 9:1; Jel 9:11; Jel 11:7; Jel 17:8; Jel 20:1, Jel 20:3. Világi szerzőknél főnévként csak Diogenész Laertiosznál használatos 4 (5) 27 κατῆλθες εἰς μέλαιναν Πλουτέως ἄβυσσον. Vö. Knapp, Scripta var. Arg., 554. o. köv.; (J. G. Müller, Philo's Lehre von der Weltschöpfung, 173. o. köv.; B. D. amerikai kiadás a címszó alatt).	pilot	google/gemini-3.8-flash	2026-09-26	v1
Thayer	G0012	G12	teljes	forditas_hu	d0a8decf3ed3361ae1e5abfe2eaca7ce135c3435	ἄβυσσος a klasszikus görögben melléknév, (ος, (a ὁ βύσσος-ból, amely βυθός-sal egyenértékű), fenéketlen (így talán a Bölcsesség 10:19-ben), határtalan (πλοῦτος ἄβυσσος, Aischülosz, a Septuaginta (931) 950). a Szentírásban ἡ ἄβυσσος (a Septuaginta a תְּהום-hoz) tudniillik, χώρα, a szakadék, a mérhetetlen mélység, az örvény. Innen az 'a mély' tenger: 1Móz 1:2; 1Móz 7:11; 5Móz 8:7; Sir. 1:3 Sir. 16:18, stb.; az Orcus (a föld legalsó részében lévő nagyon mély szakadék vagy hasadék: Zsolt 70:20 ἐκ τῶν ἀβύσσων τῆς γῆς, Euripidész, Phoen. 1632 (1605) ταρτάρου ἄβυσσα χάσματα, Róma Kelemen, 1 Kor. 20, 5 [ET] ἀβύσσων ἀνεξιχνίαστα κλίματα, ibid. 59, 3 [ET] ὁ ἐπιβλέπων ἐν ταῖς ἀβύσσοις, az Istenről; (Act. Thom.32 ὁ τήν ἄβυσσον τοῦ ταρτάρου οἴκων, a sárkányról)), mind a halottak közös befogadóhelyeként, Róm 10:7, mind pedig különösen a démonok lakóhelyeként, Luk 8:31; Jel 9:1; Jel 9:11; Jel 11:7; Jel 17:8; Jel 20:1, Jel 20:3. A világi szerzők között csak Diogenész Laërtius 4 (5) 27 használja főnévként κατῆλθες εἰς μέλαιναν Πλουτέως ἄβυσσον. Vö. Knapp, Scripta var. Arg., o. 554f; (J. G. Müller, Philo's Lehre von der Weltschöpfung, o. 173f; B. D. American edition az adott szó alatt).	pilot	anthropic/claude-haiku-4.5	2026-09-26	v1
Thayer	G0035	G35	teljes	forditas_hu	f466000e255b5063e4d7e41fd04bceb82e50203f	G35 — ἀγενεαλόγητος ὁ (γενεαλογέω), akinek származásáról nincs feljegyzés (az ÓSZ-ben) (R. V. származás nélkül): Zsid 7:3 (Zsid 7:6 μή γενεαλογούμενος). A világi szerzőknél sehol sem található.	pilot	deepseek/deepseek-v4-flash	2026-09-26	v1
