strong	csoport	modell	darabok	becsult_bemenet_token	becsult_kimenet_token	becsult_koltseg_usd
G0002	V	deepseek/deepseek-v4-flash	1	1315	160	7.7e-05
G0002	V	google/gemini-3.8-flash	1	1315	160	0.001589
G0002	V	anthropic/claude-haiku-4.5	1	1315	160	0.002119
G0004	V	deepseek/deepseek-v4-flash	1	1244	75	6.6e-05
G0004	V	google/gemini-3.8-flash	1	1244	75	0.001216
G0004	V	anthropic/claude-haiku-4.5	1	1244	75	0.001621
G0012	E	deepseek/deepseek-v4-flash	1	1507	391	0.000108
G0012	E	google/gemini-3.8-flash	1	1507	391	0.002599
G0012	E	anthropic/claude-haiku-4.5	1	1507	391	0.003465
G0035	N	deepseek/deepseek-v4-flash	1	1234	63	6.4e-05
G0035	N	google/gemini-3.8-flash	1	1234	63	0.001165
G0035	N	anthropic/claude-haiku-4.5	1	1234	63	0.001553
G0086	E	deepseek/deepseek-v4-flash	1	1686	606	0.000136
G0086	E	google/gemini-3.8-flash	1	1686	606	0.003541
G0086	E	anthropic/claude-haiku-4.5	1	1686	606	0.004721
G0282	E	deepseek/deepseek-v4-flash	1	1381	240	8.8e-05
G0282	E	google/gemini-3.8-flash	1	1381	240	0.001939
G0282	E	anthropic/claude-haiku-4.5	1	1381	240	0.002585
G0540	N	deepseek/deepseek-v4-flash	1	1242	73	6.5e-05
G0540	N	google/gemini-3.8-flash	1	1242	73	0.001207
G0540	N	anthropic/claude-haiku-4.5	1	1242	73	0.001609
G0813	E	deepseek/deepseek-v4-flash	1	1278	117	7.1e-05
G0813	E	google/gemini-3.8-flash	1	1278	117	0.001399
G0813	E	anthropic/claude-haiku-4.5	1	1278	117	0.001865
G0994	E	deepseek/deepseek-v4-flash	1	1370	226	8.6e-05
G0994	E	google/gemini-3.8-flash	1	1370	226	0.001877
G0994	E	anthropic/claude-haiku-4.5	1	1370	226	0.002503
G1311	E	deepseek/deepseek-v4-flash	1	1406	269	9.1e-05
G1311	E	google/gemini-3.8-flash	1	1406	269	0.002066
G1311	E	anthropic/claude-haiku-4.5	1	1406	269	0.002755
G1941	A	deepseek/deepseek-v4-flash	1	2251	1284	0.000227
G1941	A	google/gemini-3.8-flash	1	2251	1284	0.006505
G1941	A	anthropic/claude-haiku-4.5	1	2251	1284	0.008673
G1944	E	deepseek/deepseek-v4-flash	1	1277	115	7.1e-05
G1944	E	google/gemini-3.8-flash	1	1277	115	0.001391
G1944	E	anthropic/claude-haiku-4.5	1	1277	115	0.001855
G2671	E	deepseek/deepseek-v4-flash	1	1410	275	9.2e-05
G2671	E	google/gemini-3.8-flash	1	1410	275	0.002092
G2671	E	anthropic/claude-haiku-4.5	1	1410	275	0.002789
G2672	N	deepseek/deepseek-v4-flash	1	1474	351	0.000102
G2672	N	google/gemini-3.8-flash	1	1474	351	0.002423
G2672	N	anthropic/claude-haiku-4.5	1	1474	351	0.003231
G3777	V	deepseek/deepseek-v4-flash	1	1851	804	0.000163
G3777	V	google/gemini-3.8-flash	1	1851	804	0.004403
G3777	V	anthropic/claude-haiku-4.5	1	1851	804	0.005871
G4151	E	deepseek/deepseek-v4-flash	12	20946	8127	0.001749
G4151	E	google/gemini-3.8-flash	12	20946	8127	0.046188
G4151	E	anthropic/claude-haiku-4.5	12	20946	8127	0.061584
G5010	E	deepseek/deepseek-v4-flash	1	1451	324	9.9e-05
G5010	E	google/gemini-3.8-flash	1	1451	324	0.002305
G5010	E	anthropic/claude-haiku-4.5	1	1451	324	0.003073
G5351	E	deepseek/deepseek-v4-flash	1	1579	477	0.000119
G5351	E	google/gemini-3.8-flash	1	1579	477	0.002977
G5351	E	anthropic/claude-haiku-4.5	1	1579	477	0.003969
G5356	E	deepseek/deepseek-v4-flash	1	1459	334	0.0001
G5356	E	google/gemini-3.8-flash	1	1459	334	0.002348
G5356	E	anthropic/claude-haiku-4.5	1	1459	334	0.003131
G5590	E	deepseek/deepseek-v4-flash	3	5243	2040	0.000438
G5590	E	google/gemini-3.8-flash	3	5243	2040	0.011583
G5590	E	anthropic/claude-haiku-4.5	3	5243	2040	0.015443
