strong	cimke	modell
G0002	X	google/gemini-3.8-flash
G0002	Y	anthropic/claude-haiku-4.5
G0002	Z	deepseek/deepseek-v4-flash
G0004	X	google/gemini-3.8-flash
G0004	Y	anthropic/claude-haiku-4.5
G0004	Z	deepseek/deepseek-v4-flash
G0012	X	google/gemini-3.8-flash
G0012	Y	deepseek/deepseek-v4-flash
G0012	Z	anthropic/claude-haiku-4.5
G0035	X	google/gemini-3.8-flash
G0035	Y	deepseek/deepseek-v4-flash
G0035	Z	anthropic/claude-haiku-4.5
G0086	X	anthropic/claude-haiku-4.5
G0086	Y	google/gemini-3.8-flash
G0086	Z	deepseek/deepseek-v4-flash
G0282	X	anthropic/claude-haiku-4.5
G0282	Y	deepseek/deepseek-v4-flash
G0282	Z	google/gemini-3.8-flash
G0540	X	google/gemini-3.8-flash
G0540	Y	anthropic/claude-haiku-4.5
G0540	Z	deepseek/deepseek-v4-flash
G0813	X	deepseek/deepseek-v4-flash
G0813	Y	google/gemini-3.8-flash
G0813	Z	anthropic/claude-haiku-4.5
G0994	X	google/gemini-3.8-flash
G0994	Y	deepseek/deepseek-v4-flash
G0994	Z	anthropic/claude-haiku-4.5
G1311	X	deepseek/deepseek-v4-flash
G1311	Y	google/gemini-3.8-flash
G1311	Z	anthropic/claude-haiku-4.5
G1941	X	google/gemini-3.8-flash
G1941	Y	deepseek/deepseek-v4-flash
G1944	X	deepseek/deepseek-v4-flash
G1944	Y	google/gemini-3.8-flash
G1944	Z	anthropic/claude-haiku-4.5
G2671	X	google/gemini-3.8-flash
G2671	Y	deepseek/deepseek-v4-flash
G2671	Z	anthropic/claude-haiku-4.5
G2672	X	google/gemini-3.8-flash
G2672	Y	anthropic/claude-haiku-4.5
G2672	Z	deepseek/deepseek-v4-flash
G3777	X	deepseek/deepseek-v4-flash
G3777	Y	google/gemini-3.8-flash
G3777	Z	anthropic/claude-haiku-4.5
G4151	X	deepseek/deepseek-v4-flash
G4151	Y	anthropic/claude-haiku-4.5
G4151	Z	google/gemini-3.8-flash
G5010	X	anthropic/claude-haiku-4.5
G5010	Y	google/gemini-3.8-flash
G5010	Z	deepseek/deepseek-v4-flash
G5351	X	anthropic/claude-haiku-4.5
G5351	Y	google/gemini-3.8-flash
G5351	Z	deepseek/deepseek-v4-flash
G5356	X	deepseek/deepseek-v4-flash
G5356	Y	anthropic/claude-haiku-4.5
G5356	Z	google/gemini-3.8-flash
G5590	X	google/gemini-3.8-flash
G5590	Y	deepseek/deepseek-v4-flash
G5590	Z	anthropic/claude-haiku-4.5
