strong	csoport	modell	darab	forras	bemenet_token	kimenet_token	koltseg_usd	koltseg_forras	futo_osszeg_usd
G0002	V	deepseek/deepseek-v4-flash	0	cache	2062	6940	0.001535	openrouter	0.001535
G0002	V	google/gemini-3.8-flash	0	cache	2188	2090	0.009479	openrouter	0.011014
G0002	V	anthropic/claude-haiku-4.5	0	cache	2528	238	0.003718	openrouter	0.014732
G0002	V	openai/gpt-4o-mini	0	halozat	2064	55	0.000343	openrouter	0.015074
G0002	V	google/gemini-3.1-flash-lite	0	halozat	2188	233	0.000897	openrouter	0.015971
G0002	V	qwen/qwen3.7-flash	0	halozat	2109	220	9.2e-05	openrouter	0.016063
G0004	V	deepseek/deepseek-v4-flash	0	cache	1982	3233	0.000397	openrouter	0.01646
G0004	V	google/gemini-3.8-flash	0	cache	2106	17268	0.066335	openrouter	0.082795
G0004	V	anthropic/claude-haiku-4.5	0	cache	2436	166	0.003266	openrouter	0.086061
G0004	V	openai/gpt-4o-mini	0	cache	1988	100	0.000358	openrouter	0.086419
G0004	V	google/gemini-3.1-flash-lite	0	cache	2106	144	0.000742	openrouter	0.087161
G0004	V	qwen/qwen3.7-flash	0	cache	2023	141	7.9e-05	openrouter	0.08724
G0012	E	deepseek/deepseek-v4-flash	0	cache	2369	613	0.00034	openrouter	0.08758
G0012	E	google/gemini-3.8-flash	0	cache	2518	4524	0.018853	openrouter	0.106433
G0012	E	anthropic/claude-haiku-4.5	0	cache	2936	755	0.006711	openrouter	0.113144
G0012	E	openai/gpt-4o-mini	0	halozat	2406	519	0.0005	openrouter	0.113644
G0012	E	google/gemini-3.1-flash-lite	0	halozat	2518	610	0.001545	openrouter	0.115188
G0012	E	qwen/qwen3.7-flash	0	halozat	2477	647	0.000158	openrouter	0.115347
G0035	N	deepseek/deepseek-v4-flash	0	cache	1971	124	9.8e-05	openrouter	0.115445
G0035	N	google/gemini-3.8-flash	0	cache	2091	1995	0.00905	openrouter	0.124495
G0035	N	anthropic/claude-haiku-4.5	0	cache	2415	147	0.00315	openrouter	0.127645
G0035	N	openai/gpt-4o-mini	0	halozat	1969	31	0.000189	openrouter	0.127834
G0035	N	google/gemini-3.1-flash-lite	0	halozat	2091	130	0.000718	openrouter	0.128552
G0035	N	qwen/qwen3.7-flash	0	halozat	2007	97	7.3e-05	openrouter	0.128624
G0086	E	deepseek/deepseek-v4-flash	0	cache	2565	845	0.000464	openrouter	0.129088
G0086	E	google/gemini-3.8-flash	0	cache	2722	4206	0.017814	openrouter	0.146902
G0086	E	anthropic/claude-haiku-4.5	0	cache	3125	967	0.00796	openrouter	0.154862
G0086	E	openai/gpt-4o-mini	0	halozat	2581	102	0.000324	openrouter	0.155186
G0086	E	google/gemini-3.1-flash-lite	0	halozat	2722	881	0.002002	openrouter	0.157188
G0086	E	qwen/qwen3.7-flash	0	halozat	2665	879	0.000194	openrouter	0.157382
G0282	E	deepseek/deepseek-v4-flash	0	cache	2155	350	0.000206	openrouter	0.157588
G0282	E	google/gemini-3.8-flash	0	cache	2293	3150	0.013532	openrouter	0.17112
G0282	E	anthropic/claude-haiku-4.5	0	cache	2636	379	0.004531	openrouter	0.175651
G0282	E	openai/gpt-4o-mini	0	halozat	2165	295	0.000377	openrouter	0.176028
G0282	E	google/gemini-3.1-flash-lite	0	halozat	2293	343	0.001088	openrouter	0.177116
G0282	E	qwen/qwen3.7-flash	0	halozat	2219	314	0.000107	openrouter	0.177223
G0540	N	deepseek/deepseek-v4-flash	0	cache	1967	138	9.8e-05	openrouter	0.177322
G0540	N	google/gemini-3.8-flash	0	cache	2094	1553	0.007394	openrouter	0.184716
G0540	N	anthropic/claude-haiku-4.5	0	cache	2421	150	0.003171	openrouter	0.187887
G0540	N	openai/gpt-4o-mini	0	halozat	1975	55	0.000204	openrouter	0.188091
G0540	N	google/gemini-3.1-flash-lite	0	halozat	2094	128	0.000715	openrouter	0.188807
G0540	N	qwen/qwen3.7-flash	0	halozat	2011	122	7.6e-05	openrouter	0.188883
G0813	E	deepseek/deepseek-v4-flash	0	cache	2018	204	0.000137	openrouter	0.189019
G0813	E	google/gemini-3.8-flash	0	cache	2148	2042	0.009269	openrouter	0.198288
G0813	E	anthropic/claude-haiku-4.5	0	cache	2477	219	0.003572	openrouter	0.20186
G0813	E	openai/gpt-4o-mini	0	halozat	2025	158	0.000274	openrouter	0.202134
G0813	E	google/gemini-3.1-flash-lite	0	halozat	2148	194	0.000828	openrouter	0.202962
G0813	E	qwen/qwen3.7-flash	0	halozat	2067	210	8.9e-05	openrouter	0.203051
G0994	E	deepseek/deepseek-v4-flash	0	cache	2212	399	0.000232	openrouter	0.203283
G0994	E	google/gemini-3.8-flash	0	cache	2362	1694	0.008124	openrouter	0.211407
G0994	E	anthropic/claude-haiku-4.5	0	cache	2704	468	0.005044	openrouter	0.216451
G0994	E	openai/gpt-4o-mini	0	halozat	2226	315	0.000398	openrouter	0.216849
G0994	E	google/gemini-3.1-flash-lite	0	halozat	2362	417	0.001216	openrouter	0.218065
G0994	E	qwen/qwen3.7-flash	0	halozat	2278	407	0.000121	openrouter	0.218186
G1311	E	deepseek/deepseek-v4-flash	0	cache	2221	448	0.000259	openrouter	0.218445
G1311	E	google/gemini-3.8-flash	0	cache	2349	1424	0.007102	openrouter	0.225547
G1311	E	anthropic/claude-haiku-4.5	0	cache	2714	481	0.005119	openrouter	0.230666
G1311	E	openai/gpt-4o-mini	0	halozat	2221	287	0.000381	openrouter	0.231046
G1311	E	google/gemini-3.1-flash-lite	0	halozat	2349	421	0.001219	openrouter	0.232265
G1311	E	qwen/qwen3.7-flash	0	halozat	2279	418	0.000123	openrouter	0.232388
G1941	A	deepseek/deepseek-v4-flash	0	cache	3318	602	0.000355	openrouter	0.232743
G1941	A	google/gemini-3.8-flash	0	cache	3534	13395	0.052882	openrouter	0.285625
G1941	A	anthropic/claude-haiku-4.5	0	halozat	0	0	0.0	openrouter	0.285625
