angol	magyar	megjegyzes	verzio
spirit	szellem	SZOTAR S2 indulo sor	v1
spiritual	szellemi	SZOTAR S2 indulo sor	v1
soul	lélek	SZOTAR S2 indulo sor	v1
cf.	vö.	G1941 aranybol: rovidites-feloldas (confer)	v1
cl.	klasszikus	G1941 aranybol: rovidites-feloldas (classical)	v1
pass.	szenvedő alakban	G1941 aranybol: rovidites-feloldas (passive)	v1
sc.	ti.	G1941 aranybol: rovidites-feloldas (scilicet -> tudniillik)	v1
see	l.	G1941 aranybol: rovidites-feloldas (see -> lasd)	v1
Sept.	Septuaginta	G1941 aranybol: rovidites-feloldas	v1
i. e.	azaz	G1941 aranybol: rovidites-feloldas (id est)	v1
etc.	stb.	G1941 aranybol: rovidites-feloldas	v1
p.	o.	G1941 aranybol: rovidites-feloldas (page -> oldal)	v1
Heb.	héb.	G1941 aranybol: rovidites-feloldas (Hebrew -> heber)	v1
