motivum	igehely	lxx_igehely	heber_kulcsszo	gorog_megfelelo	egyezes	forras
ALVIL-001	Zsolt 16:10	Zsolt(LXX) 15:10	שְׁא֑וֹל (sh.'ol)	ᾅδην (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	1Móz 37:35	1Móz 37:35	שְׁאֹ֑לָ (she.'O.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	1Móz 42:38	1Móz 42:38	שְׁאֽוֹלָ (she.'o.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	1Móz 44:29	1Móz 44:29	שְׁאֹֽלָ (she.'O.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	1Móz 44:31	1Móz 44:31	שְׁאֹֽלָ (she.'O.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	4Móz 16:30	4Móz 16:30	שְׁאֹ֑לָ (she.'O.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	4Móz 16:33	4Móz 16:33	שְׁאֹ֑לָ (she.'O.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	5Móz 32:22	5Móz 32:22	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	1Sám 2:6	1Sám 2:6	שְׁא֖וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	1Kir 2:6	1Kir 2:6	שְׁאֹֽל (she.'Ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	1Kir 2:9	1Kir 2:9	שְׁאֽוֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Jób 7:9	Jób 7:9	שְׁ֝א֗וֹל (She.ol)	ᾅδην (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Jób 11:8	Jób 11:8	שְּׁא֗וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Jób 14:13	Jób 14:13	שְׁא֬וֹל (sh.'ol)	ᾅδῃ (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Jób 21:13	Jób 21:13	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Jób 26:6	Jób 26:6	שְׁא֣וֹל (she.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 6:6	Zsolt 6:6	שְׁא֗וֹל (sh.'ol)	ᾅδῃ (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 9:18	Zsolt 9:18	שְׁא֑וֹלָ (sh.'o.la)	ᾅδην (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 18:6	Zsolt(LXX) 17:6	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 30:4	Zsolt(LXX) 29:4	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 31:18	Zsolt(LXX) 30:18	שְׁאֽוֹל (sh.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 49:15	Zsolt(LXX) 48:15	שְׁא֗וֹל (she.'ol)	ᾅδῃ (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 49:16	Zsolt(LXX) 48:16	שְׁא֑וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 55:16	Zsolt(LXX) 54:16	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 86:13	Zsolt(LXX) 85:13	שְּׁא֥וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 88:4	Zsolt(LXX) 87:4	שְׁא֥וֹל (sh.'ol)	ᾅδῃ (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 89:49	Zsolt(LXX) 88:49	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 116:3	Zsolt(LXX) 114:3	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 139:8	Zsolt(LXX) 138:8	שְּׁא֣וֹל (she.'ol)	ᾅδην (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Zsolt 141:7	Zsolt(LXX) 140:7	שְׁאֽוֹל (she.'ol)	ᾅδην (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Péld 1:12	Péld 1:12	שְׁא֣וֹל (sh.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Péld 5:5	Péld 5:5	שְׁ֝א֗וֹל (She.ol)	ᾅδην (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Péld 7:27	Péld 7:27	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Péld 9:18	Péld 9:18	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Péld 15:11	Péld 15:11	שְׁא֣וֹל (she.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Péld 15:24	Péld 15:24	שְּׁא֥וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Péld 27:20	Péld(LXX) 34:20	שְׁא֣וֹל (she.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Péld 30:16	Péld 30:16	שְׁאוֹל֮ (she.'Ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Én 8:6	Én 8:6	שְׁא֖וֹל (sh.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 5:14	Ézs 5:14	שְּׁאוֹל֙ (she.'Ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 14:9	Ézs 14:9	שְׁא֗וֹל (she.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 14:11	Ézs 14:11	שְׁא֛וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 14:15	Ézs 14:15	שְׁא֛וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 28:15	Ézs 28:15	שְׁא֖וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 28:18	Ézs 28:18	שְׁא֖וֹל (she.'ol)	ᾅδην (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 38:10	Ézs 38:10	שְׁא֑וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 38:18	Ézs 38:18	שְׁא֛וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ézs 57:9	Ézs 57:9	שְׁאֽוֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ez 31:15	Ez 31:15	שְׁא֙וֹלָ (she.'o.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ez 31:16	Ez 31:16	שְׁא֖וֹלָ (she.'o.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ez 31:17	Ez 31:17	שְׁא֖וֹלָ (she.'o.la)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ez 32:27	Ez 32:27	שְׁא֣וֹל (she.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Ámós 9:2	Ámós 9:2	שְׁא֔וֹל (sh.'ol)	ᾅδου (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ALVIL-001	Hab 2:5	Hab 2:5	שְׁא֜וֹל (sh.'ol)	ᾅδης (ᾅδης, Hadēs G0086)	egyező	LXX_OS
ANTROP-001	1Móz 2:7	1Móz 2:7	נֶ֥פֶשׁ (Ne.fesh)	ψυχὴν (ψυχή, psuchē G5590)	egyező	LXX_OS
HAMART-001	1Móz 3:14	1Móz 3:14	אָר֤וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	1Móz 3:17	1Móz 3:17	אֲדָמָה֙ ('a.da.Mah)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	1Móz 4:11	1Móz 4:11	אָר֣וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	1Móz 6:11	1Móz 6:11	תִּשָּׁחֵ֥ת (ti.sha.Chet)	ἐφθάρη (φθείρω, phtheirō G5351)	egyező	LXX_OS
HAMART-001	1Móz 9:25	1Móz 9:25	אָר֣וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:15	5Móz 27:15	אָר֣וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:16	5Móz 27:16	אָר֕וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:17	5Móz 27:17	אָר֕וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:18	5Móz 27:18	אָר֕וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
HAMART-001	5Móz 27:19	5Móz 27:19	אָר֗וּר ('a.Rur)	ἐπικατάρατος (ἐπικατάρατος, epikataratos G1944)	egyező	LXX_OS
