motivum	igehely_mt	lxx_igehely_javasolt	besorolas
ALVIL-001	Jób 17:13	17:13 (identity)	megoldva
ALVIL-001	Jób 17:16	17:16 (identity)	megoldva
ALVIL-001	Hós 13:14	13:14 (identity)	megoldva
ALVIL-001	Jón 2:3	2:4 (tvtms)	megoldva_athelyezessel
HAMART-001	Jer 51:46	NINCS_PARBAN	valodi_eltres_kutatoi_kerdes
HODIT-001	Józs 12:4	12:4 (identity)	megoldva
HODIT-001	Józs 13:12	13:12 (identity)	megoldva
HODIT-001	Józs 15:8	15:8 (identity)	megoldva
HODIT-001	Józs 18:16	18:16 (identity)	megoldva
HODIT-001	Józs 17:15	17:15 (identity)	megoldva
MENNY-001	Jób 38:7	38:7 (identity)	megoldva
TEREMT-001	Jób 38:16	38:16 (identity)	megoldva
TEREMT-001	Jób 38:30	38:30 (identity)	megoldva
TEREMT-001	Ézs 63:13	63:13 (identity)	megoldva
TEREMT-001	Jón 2:6	2:7 (tvtms)	megoldva_athelyezessel
