karoli_konyv	fejezet	igehely_lxx_veg	fejezetosztaly	ok
2Móz	35	35:1	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:2	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:3	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:4	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:5	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:6	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:7	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:9	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:10	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:11	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:12	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:13	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:14	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:16	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:19	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:20	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:21	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:22	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:23	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:24	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:25	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:26	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:27	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:28	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:29	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:30	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:31	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:32	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:33	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:34	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	35	35:35	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	36	36:1	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	36	36:2	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	36	36:3	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	36	36:4	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	36	36:5	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	36	36:6	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	36	36:7	EGYIK_SEM	H3_egyeb_karoli_sajatossag
2Móz	37	37:1	KJV	H5_valodi_verstartalmi_elteres
2Móz	37	37:2	KJV	H5_valodi_verstartalmi_elteres
2Móz	37	37:3	KJV	H5_valodi_verstartalmi_elteres
2Móz	37	37:4	KJV	H5_valodi_verstartalmi_elteres
2Móz	37	37:5	KJV	H5_valodi_verstartalmi_elteres
2Móz	37	37:6	KJV	H5_valodi_verstartalmi_elteres
2Móz	38	38:4	KJV	H5_valodi_verstartalmi_elteres
2Móz	38	38:9	KJV	H5_valodi_verstartalmi_elteres
2Móz	38	38:10	KJV	H5_valodi_verstartalmi_elteres
2Móz	38	38:15	KJV	H5_valodi_verstartalmi_elteres
2Móz	38	38:22	KJV	H5_valodi_verstartalmi_elteres
2Móz	38	38:24	KJV	H5_valodi_verstartalmi_elteres
2Móz	38	38:27	KJV	H5_valodi_verstartalmi_elteres
2Móz	39	39:15	KJV	H5_valodi_verstartalmi_elteres
4Móz	6	6:1	MT	H2_karoli_mt_szamozas
4Móz	6	6:2	MT	H2_karoli_mt_szamozas
4Móz	6	6:3	MT	H2_karoli_mt_szamozas
4Móz	6	6:4	MT	H2_karoli_mt_szamozas
4Móz	6	6:5	MT	H2_karoli_mt_szamozas
4Móz	6	6:6	MT	H2_karoli_mt_szamozas
4Móz	6	6:7	MT	H2_karoli_mt_szamozas
4Móz	6	6:8	MT	H2_karoli_mt_szamozas
4Móz	6	6:9	MT	H2_karoli_mt_szamozas
4Móz	6	6:10	MT	H2_karoli_mt_szamozas
4Móz	6	6:11	MT	H2_karoli_mt_szamozas
4Móz	6	6:12	MT	H2_karoli_mt_szamozas
4Móz	6	6:13	MT	H2_karoli_mt_szamozas
4Móz	6	6:14	MT	H2_karoli_mt_szamozas
4Móz	6	6:15	MT	H2_karoli_mt_szamozas
4Móz	6	6:16	MT	H2_karoli_mt_szamozas
4Móz	6	6:17	MT	H2_karoli_mt_szamozas
4Móz	6	6:18	MT	H2_karoli_mt_szamozas
4Móz	6	6:19	MT	H2_karoli_mt_szamozas
4Móz	6	6:20	MT	H2_karoli_mt_szamozas
4Móz	6	6:21	MT	H2_karoli_mt_szamozas
4Móz	6	6:22	MT	H2_karoli_mt_szamozas
4Móz	6	6:23	MT	H2_karoli_mt_szamozas
4Móz	6	6:24	MT	H2_karoli_mt_szamozas
4Móz	6	6:25	MT	H2_karoli_mt_szamozas
4Móz	6	6:26	MT	H2_karoli_mt_szamozas
4Móz	12	12:1	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:2	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:3	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:4	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:5	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:6	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:7	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:8	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:9	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:10	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:11	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:12	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:13	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:14	KEZI	H1_importer_kezi_none_fallthrough
4Móz	12	12:15	KEZI	H1_importer_kezi_none_fallthrough
4Móz	29	29:1	MT	H2_karoli_mt_szamozas
4Móz	29	29:2	MT	H2_karoli_mt_szamozas
4Móz	29	29:3	MT	H2_karoli_mt_szamozas
4Móz	29	29:4	MT	H2_karoli_mt_szamozas
4Móz	29	29:5	MT	H2_karoli_mt_szamozas
4Móz	29	29:6	MT	H2_karoli_mt_szamozas
4Móz	29	29:7	MT	H2_karoli_mt_szamozas
4Móz	29	29:8	MT	H2_karoli_mt_szamozas
4Móz	29	29:9	MT	H2_karoli_mt_szamozas
4Móz	29	29:10	MT	H2_karoli_mt_szamozas
4Móz	29	29:11	MT	H2_karoli_mt_szamozas
4Móz	29	29:12	MT	H2_karoli_mt_szamozas
4Móz	29	29:13	MT	H2_karoli_mt_szamozas
4Móz	29	29:14	MT	H2_karoli_mt_szamozas
4Móz	29	29:15	MT	H2_karoli_mt_szamozas
4Móz	29	29:16	MT	H2_karoli_mt_szamozas
4Móz	29	29:17	MT	H2_karoli_mt_szamozas
4Móz	29	29:18	MT	H2_karoli_mt_szamozas
4Móz	29	29:19	MT	H2_karoli_mt_szamozas
4Móz	29	29:20	MT	H2_karoli_mt_szamozas
4Móz	29	29:21	MT	H2_karoli_mt_szamozas
4Móz	29	29:22	MT	H2_karoli_mt_szamozas
4Móz	29	29:23	MT	H2_karoli_mt_szamozas
4Móz	29	29:24	MT	H2_karoli_mt_szamozas
4Móz	29	29:25	MT	H2_karoli_mt_szamozas
4Móz	29	29:26	MT	H2_karoli_mt_szamozas
4Móz	29	29:27	MT	H2_karoli_mt_szamozas
4Móz	29	29:28	MT	H2_karoli_mt_szamozas
4Móz	29	29:29	MT	H2_karoli_mt_szamozas
4Móz	29	29:30	MT	H2_karoli_mt_szamozas
4Móz	29	29:31	MT	H2_karoli_mt_szamozas
4Móz	29	29:32	MT	H2_karoli_mt_szamozas
4Móz	29	29:33	MT	H2_karoli_mt_szamozas
4Móz	29	29:34	MT	H2_karoli_mt_szamozas
4Móz	29	29:35	MT	H2_karoli_mt_szamozas
4Móz	29	29:36	MT	H2_karoli_mt_szamozas
4Móz	29	29:37	MT	H2_karoli_mt_szamozas
4Móz	29	29:38	MT	H2_karoli_mt_szamozas
4Móz	29	29:39	MT	H2_karoli_mt_szamozas
4Móz	30	30:1	KJV	H5_valodi_verstartalmi_elteres
Józs	8	8:1	MT	H2_karoli_mt_szamozas
Józs	8	8:2	MT	H2_karoli_mt_szamozas
Józs	8	8:3	MT	H2_karoli_mt_szamozas
Józs	8	8:4	MT	H2_karoli_mt_szamozas
Józs	8	8:5	MT	H2_karoli_mt_szamozas
Józs	8	8:6	MT	H2_karoli_mt_szamozas
Józs	8	8:7	MT	H2_karoli_mt_szamozas
Józs	8	8:8	MT	H2_karoli_mt_szamozas
Józs	8	8:9	MT	H2_karoli_mt_szamozas
Józs	8	8:10	MT	H2_karoli_mt_szamozas
Józs	8	8:11	MT	H2_karoli_mt_szamozas
Józs	8	8:12	MT	H2_karoli_mt_szamozas
Józs	8	8:14	MT	H2_karoli_mt_szamozas
Józs	8	8:15	MT	H2_karoli_mt_szamozas
Józs	8	8:16	MT	H2_karoli_mt_szamozas
Józs	8	8:17	MT	H2_karoli_mt_szamozas
Józs	8	8:18	MT	H2_karoli_mt_szamozas
Józs	8	8:19	MT	H2_karoli_mt_szamozas
Józs	8	8:20	MT	H2_karoli_mt_szamozas
Józs	8	8:21	MT	H2_karoli_mt_szamozas
Józs	8	8:22	MT	H2_karoli_mt_szamozas
Józs	8	8:23	MT	H2_karoli_mt_szamozas
Józs	8	8:24	MT	H2_karoli_mt_szamozas
Józs	8	8:25	MT	H2_karoli_mt_szamozas
Józs	8	8:27	MT	H2_karoli_mt_szamozas
Józs	8	8:28	MT	H2_karoli_mt_szamozas
Józs	8	8:29	MT	H2_karoli_mt_szamozas
Józs	10	10:1	MT	H2_karoli_mt_szamozas
Józs	10	10:2	MT	H2_karoli_mt_szamozas
Józs	10	10:3	MT	H2_karoli_mt_szamozas
Józs	10	10:4	MT	H2_karoli_mt_szamozas
Józs	10	10:5	MT	H2_karoli_mt_szamozas
Józs	10	10:6	MT	H2_karoli_mt_szamozas
Józs	10	10:7	MT	H2_karoli_mt_szamozas
Józs	10	10:8	MT	H2_karoli_mt_szamozas
Józs	10	10:9	MT	H2_karoli_mt_szamozas
