karoli_konyv	book_key	fejezet	karoli_max	kjv_max	mt_max	osztaly
1Móz	genesis	1	31	31	31	KJV
1Móz	genesis	2	25	25	25	KJV
1Móz	genesis	3	24	24	24	KJV
1Móz	genesis	4	26	26	26	KJV
1Móz	genesis	5	32	32	32	KJV
1Móz	genesis	6	22	22	22	KJV
1Móz	genesis	7	24	24	24	KJV
1Móz	genesis	8	22	22	22	KJV
1Móz	genesis	9	29	29	29	KJV
1Móz	genesis	10	32	32	32	KJV
1Móz	genesis	11	32	32	32	KJV
1Móz	genesis	12	20	20	20	KJV
1Móz	genesis	13	18	18	18	KJV
1Móz	genesis	14	24	24	24	KJV
1Móz	genesis	15	21	21	21	KJV
1Móz	genesis	16	16	16	16	KJV
1Móz	genesis	17	27	27	27	KJV
1Móz	genesis	18	33	33	33	KJV
1Móz	genesis	19	38	38	38	KJV
1Móz	genesis	20	18	18	18	KJV
1Móz	genesis	21	34	34	34	KJV
1Móz	genesis	22	24	24	24	KJV
1Móz	genesis	23	20	20	20	KJV
1Móz	genesis	24	67	67	67	KJV
1Móz	genesis	25	34	34	34	KJV
1Móz	genesis	26	35	35	35	KJV
1Móz	genesis	27	46	46	46	KJV
1Móz	genesis	28	22	22	22	KJV
1Móz	genesis	29	35	35	35	KJV
1Móz	genesis	30	43	43	43	KJV
1Móz	genesis	31	55	55	55	KJV
1Móz	genesis	32	32	32	32	KJV
1Móz	genesis	33	20	20	20	KJV
1Móz	genesis	34	31	31	31	KJV
1Móz	genesis	35	29	29	29	KJV
1Móz	genesis	36	43	43	43	KJV
1Móz	genesis	37	36	36	36	KJV
1Móz	genesis	38	30	30	30	KJV
1Móz	genesis	39	23	23	23	KJV
1Móz	genesis	40	23	23	23	KJV
1Móz	genesis	41	57	57	57	KJV
1Móz	genesis	42	38	38	38	KJV
1Móz	genesis	43	34	34	34	KJV
1Móz	genesis	44	34	34	34	KJV
1Móz	genesis	45	28	28	28	KJV
1Móz	genesis	46	34	34	34	KJV
1Móz	genesis	47	31	31	31	KJV
1Móz	genesis	48	22	22	22	KJV
1Móz	genesis	49	33	33	33	KJV
1Móz	genesis	50	26	26	26	KJV
2Móz	exodus	1	22	22	22	KJV
2Móz	exodus	2	25	25	25	KJV
2Móz	exodus	3	22	22	22	KJV
2Móz	exodus	4	31	31	31	KJV
2Móz	exodus	5	23	23	23	KJV
2Móz	exodus	6	30	30	30	KJV
2Móz	exodus	7	25	25	25	KJV
2Móz	exodus	8	32	32	32	KJV
2Móz	exodus	9	35	35	35	KJV
2Móz	exodus	10	29	29	29	KJV
2Móz	exodus	11	10	10	10	KJV
2Móz	exodus	12	51	51	51	KJV
2Móz	exodus	13	22	22	22	KJV
2Móz	exodus	14	31	31	31	KJV
2Móz	exodus	15	27	27	27	KJV
2Móz	exodus	16	36	36	36	KJV
2Móz	exodus	17	16	16	16	KJV
2Móz	exodus	18	27	27	27	KJV
2Móz	exodus	19	25	25	25	KJV
2Móz	exodus	20	26	26	26	KJV
2Móz	exodus	21	36	36	36	KJV
2Móz	exodus	22	31	31	31	KJV
2Móz	exodus	23	33	33	33	KJV
2Móz	exodus	24	18	18	18	KJV
2Móz	exodus	25	40	40	40	KJV
2Móz	exodus	26	37	37	37	KJV
2Móz	exodus	27	21	21	21	KJV
2Móz	exodus	28	43	43	43	KJV
2Móz	exodus	29	46	46	46	KJV
2Móz	exodus	30	38	38	38	KJV
2Móz	exodus	31	18	18	18	KJV
2Móz	exodus	32	35	35	35	KJV
2Móz	exodus	33	23	23	23	KJV
2Móz	exodus	34	35	35	35	KJV
2Móz	exodus	35	36	35	35	EGYIK_SEM
2Móz	exodus	36	37	38	38	EGYIK_SEM
2Móz	exodus	37	29	29	29	KJV
2Móz	exodus	38	31	31	31	KJV
2Móz	exodus	39	43	43	43	KJV
2Móz	exodus	40	38	38	38	KJV
3Móz	leviticus	1	17	17	17	KJV
3Móz	leviticus	2	16	16	16	KJV
3Móz	leviticus	3	17	17	17	KJV
3Móz	leviticus	4	35	35	35	KJV
3Móz	leviticus	5	19	19	19	KJV
3Móz	leviticus	6	30	30	30	KJV
3Móz	leviticus	7	38	38	38	KJV
3Móz	leviticus	8	36	36	36	KJV
3Móz	leviticus	9	24	24	24	KJV
3Móz	leviticus	10	20	20	20	KJV
3Móz	leviticus	11	47	47	47	KJV
3Móz	leviticus	12	8	8	8	KJV
3Móz	leviticus	13	59	59	59	KJV
3Móz	leviticus	14	57	57	57	KJV
3Móz	leviticus	15	33	33	33	KJV
3Móz	leviticus	16	34	34	34	KJV
3Móz	leviticus	17	16	16	16	KJV
3Móz	leviticus	18	30	30	30	KJV
3Móz	leviticus	19	37	37	37	KJV
3Móz	leviticus	20	27	27	27	KJV
3Móz	leviticus	21	24	24	24	KJV
3Móz	leviticus	22	33	33	33	KJV
3Móz	leviticus	23	44	44	44	KJV
3Móz	leviticus	24	23	23	23	KJV
3Móz	leviticus	25	55	55	55	KJV
3Móz	leviticus	26	46	46	46	KJV
3Móz	leviticus	27	34	34	34	KJV
4Móz	numbers	1	54	54	54	KJV
4Móz	numbers	2	34	34	34	KJV
4Móz	numbers	3	51	51	51	KJV
4Móz	numbers	4	49	49	49	KJV
4Móz	numbers	5	31	31	31	KJV
4Móz	numbers	6	27	26	27	MT
4Móz	numbers	7	89	89	89	KJV
4Móz	numbers	8	26	26	26	KJV
4Móz	numbers	9	23	23	23	KJV
4Móz	numbers	10	36	36	36	KJV
4Móz	numbers	11	35	35	35	KJV
4Móz	numbers	12	15	16	15	KEZI
4Móz	numbers	13	34	33	34	KEZI
4Móz	numbers	14	45	45	45	KJV
4Móz	numbers	15	41	41	41	KJV
4Móz	numbers	16	50	50	50	KJV
4Móz	numbers	17	13	13	13	KJV
4Móz	numbers	18	32	32	32	KJV
4Móz	numbers	19	22	22	22	KJV
4Móz	numbers	20	29	29	29	KJV
4Móz	numbers	21	35	35	35	KJV
4Móz	numbers	22	41	41	41	KJV
4Móz	numbers	23	30	30	30	KJV
4Móz	numbers	24	25	25	25	KJV
4Móz	numbers	25	18	18	18	KJV
4Móz	numbers	26	65	65	65	KJV
4Móz	numbers	27	23	23	23	KJV
4Móz	numbers	28	31	31	31	KJV
4Móz	numbers	29	39	40	39	MT
4Móz	numbers	30	16	16	17	KJV
4Móz	numbers	31	54	54	54	KJV
4Móz	numbers	32	42	42	42	KJV
4Móz	numbers	33	56	56	56	KJV
4Móz	numbers	34	29	29	29	KJV
4Móz	numbers	35	34	34	34	KJV
4Móz	numbers	36	13	13	13	KJV
5Móz	deuteronomy	1	46	46	46	KJV
5Móz	deuteronomy	2	37	37	37	KJV
5Móz	deuteronomy	3	29	29	29	KJV
5Móz	deuteronomy	4	49	49	49	KJV
5Móz	deuteronomy	5	33	33	33	KJV
5Móz	deuteronomy	6	25	25	25	KJV
5Móz	deuteronomy	7	26	26	26	KJV
5Móz	deuteronomy	8	20	20	20	KJV
5Móz	deuteronomy	9	29	29	29	KJV
5Móz	deuteronomy	10	22	22	22	KJV
5Móz	deuteronomy	11	32	32	32	KJV
5Móz	deuteronomy	12	32	32	32	KJV
5Móz	deuteronomy	13	18	18	18	KJV
