osztaly	igehely_karoli	horgony	allapot
KJV	Jer 10:1	H3478=Israel	EGYEZIK
KJV	Jer 10:25	H3290=Jacob	EGYEZIK
KJV	3Móz 27:1	H4872=Moses	EGYEZIK
KJV	3Móz 27:34	H4872=Moses	EGYEZIK
KJV	1Móz 26:1	H85=Abraham	EGYEZIK
KJV	1Móz 26:35	H3327=Isaac	EGYEZIK
KJV	Hós 3:1	H3478=Israel	EGYEZIK
KJV	Hós 3:5	H3478=Israel	EGYEZIK
KJV	1Kir 5:1	H8010=Solomon	EGYEZIK
KJV	1Kir 5:18	H8010=Solomon	EGYEZIK
KJV	1Sám 29:1	H3478=Israel	EGYEZIK
KJV	1Sám 29:11	H1732=David	EGYEZIK
KJV	1Sám 2:1		NINCS_ELLENORIZHETO_HORGONY
KJV	1Sám 2:36		NINCS_ELLENORIZHETO_HORGONY
KJV	4Móz 32:1		NINCS_ELLENORIZHETO_HORGONY
KJV	4Móz 32:42		NINCS_ELLENORIZHETO_HORGONY
KJV	Dán 9:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Dán 9:27		NINCS_ELLENORIZHETO_HORGONY
KJV	3Móz 17:1	H4872=Moses	EGYEZIK
KJV	3Móz 17:16		NINCS_ELLENORIZHETO_HORGONY
KJV	Jer 50:1	H894=Babylon	EGYEZIK
KJV	Jer 50:46	H894=Babylon	EGYEZIK
KJV	Hós 1:1	H3478=Israel	EGYEZIK
KJV	Hós 1:11	H3478=Israel	EGYEZIK
KJV	Péld 15:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Péld 15:33		NINCS_ELLENORIZHETO_HORGONY
KJV	3Móz 2:1		NINCS_ELLENORIZHETO_HORGONY
KJV	3Móz 2:16		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 23:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 23:18		NINCS_ELLENORIZHETO_HORGONY
KJV	Jób 13:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Jób 13:28		NINCS_ELLENORIZHETO_HORGONY
KJV	1Móz 33:1	H3290=Jacob	EGYEZIK
KJV	1Móz 33:20	H3290=Israel	EGYEZIK
KJV	1Móz 31:1	H3290=Jacob	EGYEZIK
KJV	1Móz 31:55		NINCS_ELLENORIZHETO_HORGONY
KJV	3Móz 8:1	H4872=Moses	EGYEZIK
KJV	3Móz 8:36	H175=Aaron	EGYEZIK
KJV	Ruth 1:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ruth 1:22		NINCS_ELLENORIZHETO_HORGONY
KJV	1Sám 12:1	H3478=Israel	EGYEZIK
KJV	1Sám 12:25		NINCS_ELLENORIZHETO_HORGONY
KJV	Zsolt 121:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Zsolt 121:8		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 35:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 35:10	H6726=Zion	EGYEZIK
KJV	1Móz 28:1	H3327=Isaac	EGYEZIK
KJV	1Móz 28:22		NINCS_ELLENORIZHETO_HORGONY
KJV	Préd 3:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Préd 3:22		NINCS_ELLENORIZHETO_HORGONY
KJV	Bír 2:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Bír 2:23		NINCS_ELLENORIZHETO_HORGONY
KJV	Ez 34:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ez 34:31		NINCS_ELLENORIZHETO_HORGONY
KJV	Jer 21:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Jer 21:14		NINCS_ELLENORIZHETO_HORGONY
KJV	Ez 19:1	H3478=Israel	EGYEZIK
KJV	Ez 19:14		NINCS_ELLENORIZHETO_HORGONY
KJV	Jób 10:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Jób 10:22		NINCS_ELLENORIZHETO_HORGONY
KJV	Ruth 3:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ruth 3:18		NINCS_ELLENORIZHETO_HORGONY
KJV	Zsolt 10:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Zsolt 10:18		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 22:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 22:25		NINCS_ELLENORIZHETO_HORGONY
KJV	1Kir 9:1	H8010=Solomon	EGYEZIK
KJV	1Kir 9:28	H8010=Solomon	EGYEZIK
KJV	1Móz 7:1		NINCS_ELLENORIZHETO_HORGONY
KJV	1Móz 7:24		NINCS_ELLENORIZHETO_HORGONY
KJV	Ámós 7:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ámós 7:17	H3478=Israel	EGYEZIK
KJV	5Móz 17:1		NINCS_ELLENORIZHETO_HORGONY
KJV	5Móz 17:20	H3478=Israel	EGYEZIK
KJV	Ez 15:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ez 15:8		NINCS_ELLENORIZHETO_HORGONY
KJV	1Krón 27:1	H3478=Israel	EGYEZIK
KJV	1Krón 27:34		NINCS_ELLENORIZHETO_HORGONY
KJV	5Móz 13:1		NINCS_ELLENORIZHETO_HORGONY
KJV	5Móz 13:18		NINCS_ELLENORIZHETO_HORGONY
KJV	Bír 19:1	H3478=Israel	EGYEZIK
KJV	Bír 19:30	H3478=Israel	EGYEZIK
KJV	Jón 3:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Jón 3:10		NINCS_ELLENORIZHETO_HORGONY
KJV	1Krón 23:1	H1732=David	EGYEZIK
KJV	1Krón 23:32	H175=Aaron	EGYEZIK
KJV	3Móz 7:1		NINCS_ELLENORIZHETO_HORGONY
KJV	3Móz 7:38	H4872=Moses	EGYEZIK
KJV	Ezsd 3:1	H3478=Israel	EGYEZIK
KJV	Ezsd 3:13		NINCS_ELLENORIZHETO_HORGONY
KJV	3Móz 12:1	H4872=Moses	EGYEZIK
KJV	3Móz 12:8		NINCS_ELLENORIZHETO_HORGONY
KJV	2Krón 17:1	H3478=Israel	EGYEZIK
KJV	2Krón 17:19		NINCS_ELLENORIZHETO_HORGONY
KJV	2Krón 2:1	H8010=Solomon	EGYEZIK
KJV	2Krón 2:18		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 37:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 37:38		NINCS_ELLENORIZHETO_HORGONY
KJV	2Sám 18:1	H1732=David	EGYEZIK
KJV	2Sám 18:33		NINCS_ELLENORIZHETO_HORGONY
KJV	1Móz 45:1		NINCS_ELLENORIZHETO_HORGONY
KJV	1Móz 45:28	H3478=Israel	EGYEZIK
KJV	Ez 48:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ez 48:35		NINCS_ELLENORIZHETO_HORGONY
KJV	Zsolt 27:1	H1732=David	EGYEZIK
KJV	Zsolt 27:14		NINCS_ELLENORIZHETO_HORGONY
KJV	Péld 5:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Péld 5:23		NINCS_ELLENORIZHETO_HORGONY
KJV	4Móz 16:1	H3881=Levi	EGYEZIK
KJV	4Móz 16:50	H175=Aaron	EGYEZIK
KJV	Ezsd 1:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ezsd 1:11	H894=Babylon	EGYEZIK
KJV	2Móz 31:1	H4872=Moses	EGYEZIK
KJV	2Móz 31:18	H4872=Moses	EGYEZIK
KJV	Péld 23:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Péld 23:35		NINCS_ELLENORIZHETO_HORGONY
KJV	2Kir 4:1	H477=Elisha	EGYEZIK
KJV	2Kir 4:44		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 65:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 65:25		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 52:1	H6726=Jerusalem	EGYEZIK
KJV	Ézs 52:15		NINCS_ELLENORIZHETO_HORGONY
KJV	2Krón 20:1		NINCS_ELLENORIZHETO_HORGONY
KJV	2Krón 20:37		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 10:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ézs 10:34		NINCS_ELLENORIZHETO_HORGONY
KJV	Józs 19:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Józs 19:51	H3478=Israel	EGYEZIK
KJV	Ez 22:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Ez 22:31		NINCS_ELLENORIZHETO_HORGONY
KJV	2Móz 22:1		NINCS_ELLENORIZHETO_HORGONY
KJV	2Móz 22:31		NINCS_ELLENORIZHETO_HORGONY
KJV	1Móz 47:1		NINCS_ELLENORIZHETO_HORGONY
KJV	1Móz 47:31	H3478=Israel	EGYEZIK
KJV	Jer 34:1	H894=Babylon	EGYEZIK
KJV	Jer 34:22		NINCS_ELLENORIZHETO_HORGONY
KJV	1Sám 7:1		NINCS_ELLENORIZHETO_HORGONY
KJV	1Sám 7:17	H3478=Israel	EGYEZIK
KJV	Náh 2:1		NINCS_ELLENORIZHETO_HORGONY
KJV	Náh 2:13		NINCS_ELLENORIZHETO_HORGONY
KJV	1Kir 21:1		NINCS_ELLENORIZHETO_HORGONY
