konyv	fejezet	igehely_lxx_veg	fejezetosztaly	ok
Zsolt	3	3:1	MT	H2_karoli_mt_szamozas
Zsolt	4	4:1	MT	H2_karoli_mt_szamozas
Zsolt	5	5:1	MT	H2_karoli_mt_szamozas
Zsolt	6	6:1	MT	H2_karoli_mt_szamozas
Zsolt	7	7:1	MT	H2_karoli_mt_szamozas
Zsolt	8	8:1	MT	H2_karoli_mt_szamozas
Zsolt	9	9:1	MT	H2_karoli_mt_szamozas
Zsolt	11	11:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	12	12:6	MT	H2_karoli_mt_szamozas
Zsolt	17	17:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	18	18:1	MT	H2_karoli_mt_szamozas
Zsolt	19	19:1	MT	H2_karoli_mt_szamozas
Zsolt	20	20:1	MT	H2_karoli_mt_szamozas
Zsolt	21	21:1	MT	H2_karoli_mt_szamozas
Zsolt	29	29:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	30	30:1	MT	H2_karoli_mt_szamozas
Zsolt	33	33:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	35	35:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	37	37:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	38	38:1	MT	H2_karoli_mt_szamozas
Zsolt	39	39:1	MT	H2_karoli_mt_szamozas
Zsolt	40	40:1	MT	H2_karoli_mt_szamozas
Zsolt	41	41:1	MT	H2_karoli_mt_szamozas
Zsolt	43	43:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	44	44:1	MT	H2_karoli_mt_szamozas
Zsolt	45	45:1	MT	H2_karoli_mt_szamozas
Zsolt	46	46:1	MT	H2_karoli_mt_szamozas
Zsolt	47	47:1	MT	H2_karoli_mt_szamozas
Zsolt	48	48:1	MT	H2_karoli_mt_szamozas
Zsolt	50	50:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	50	50:2	KJV	H5_valodi_verstartalmi_elteres
Zsolt	51	51:1	MT	H2_karoli_mt_szamozas
Zsolt	51	51:2	MT	H2_karoli_mt_szamozas
Zsolt	52	52:1	MT	H2_karoli_mt_szamozas
Zsolt	53	53:1	MT	H2_karoli_mt_szamozas
Zsolt	53	53:2	MT	H2_karoli_mt_szamozas
Zsolt	54	54:1	MT	H2_karoli_mt_szamozas
Zsolt	55	55:1	MT	H2_karoli_mt_szamozas
Zsolt	56	56:1	MT	H2_karoli_mt_szamozas
Zsolt	57	57:1	MT	H2_karoli_mt_szamozas
Zsolt	58	58:1	MT	H2_karoli_mt_szamozas
Zsolt	59	59:1	MT	H2_karoli_mt_szamozas
Zsolt	59	59:2	MT	H2_karoli_mt_szamozas
Zsolt	60	60:1	MT	H2_karoli_mt_szamozas
Zsolt	61	61:1	MT	H2_karoli_mt_szamozas
Zsolt	62	62:1	MT	H2_karoli_mt_szamozas
Zsolt	63	63:1	MT	H2_karoli_mt_szamozas
Zsolt	64	64:1	MT	H2_karoli_mt_szamozas
Zsolt	66	66:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	67	67:1	MT	H2_karoli_mt_szamozas
Zsolt	68	68:1	MT	H2_karoli_mt_szamozas
Zsolt	69	69:1	MT	H2_karoli_mt_szamozas
Zsolt	74	74:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	75	75:1	MT	H2_karoli_mt_szamozas
Zsolt	76	76:1	MT	H2_karoli_mt_szamozas
Zsolt	79	79:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	80	80:1	MT	H2_karoli_mt_szamozas
Zsolt	82	82:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	83	83:1	MT	H2_karoli_mt_szamozas
Zsolt	84	84:1	MT	H2_karoli_mt_szamozas
Zsolt	87	87:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	88	88:1	MT	H2_karoli_mt_szamozas
Zsolt	91	91:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	101	101:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	107	107:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	139	139:1	KJV	H5_valodi_verstartalmi_elteres
Zsolt	141	141:1	KJV	H5_valodi_verstartalmi_elteres
