igehely_karoli	osztaly	varhato_mt	terkep_heber_vers	terkep_egyezik_hol	automatikus_horgony_dontes
1Kir 4:21	KJV	4:21	1Ki.5:1	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:22	KJV	4:22	1Ki.5:2	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:23	KJV	4:23	1Ki.5:3	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:24	KJV	4:24	1Ki.5:4	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:24	KJV	4:24	1Ki.5:4	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:25	KJV	4:25	1Ki.5:5	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:26	KJV	4:26	1Ki.5:6	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:27	KJV	4:27	1Ki.5:7	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:27	KJV	4:27	1Ki.5:7-8	EGYIK_SEM	TERVEZET_MARAD (a terkep celja nincs a TAHOT-ban, a mienk igen)
1Kir 4:28	KJV	4:28	1Ki.5:8	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:29	KJV	4:29	1Ki.5:9	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:29	KJV	4:29	1Ki.5:9	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:30	KJV	4:30	1Ki.5:10	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:30	KJV	4:30	1Ki.5:10	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:31	KJV	4:31	1Ki.5:11	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:32	KJV	4:32	1Ki.5:12	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:33	KJV	4:33	1Ki.5:13	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:34	KJV	4:34	1Ki.5:14	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 4:34	KJV	4:34	1Ki.5:14	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 5:1	KJV	5:1	1Ki.5:15	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 5:2	KJV	5:2	1Ki.5:16	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 5:3	KJV	5:3	1Ki.5:17	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 5:4	KJV	5:4	1Ki.5:18	Latin	BIZONYTALAN_MINDKETTO_LETEZIK (kezi tartalmi egyeztetes kell)
1Kir 5:5	KJV	5:5	1Ki.5:19	Latin	TERVEZET_MARAD (a terkep celja nincs a TAHOT-ban, a mienk igen)
1Kir 5:6	KJV	5:6	1Ki.5:20	Latin	TERVEZET_MARAD (a terkep celja nincs a TAHOT-ban, a mienk igen)
1Kir 5:7	KJV	5:7	1Ki.5:21	Latin	TERVEZET_MARAD (a terkep celja nincs a TAHOT-ban, a mienk igen)
1Kir 5:8	KJV	5:8	1Ki.5:22	Latin	TERVEZET_MARAD (a terkep celja nincs a TAHOT-ban, a mienk igen)
