# GENERALT-TERVEZET: naplok/KAROLI_KK2_kulcstabla_general.py - jovahagyasra var, meg NEM elesitett
igehely_karoli	igehely_kjv	igehely_mt	osztaly	forras	megjegyzes
1Kir 1:1	1:1		KJV	szamlalas	
1Kir 1:2	1:2		KJV	szamlalas	
1Kir 1:3	1:3		KJV	szamlalas	
1Kir 1:4	1:4		KJV	szamlalas	
1Kir 1:5	1:5		KJV	szamlalas	
1Kir 1:6	1:6		KJV	szamlalas	
1Kir 1:7	1:7		KJV	szamlalas	
1Kir 1:8	1:8		KJV	szamlalas	
1Kir 1:9	1:9		KJV	szamlalas	
1Kir 1:10	1:10		KJV	szamlalas	
1Kir 1:11	1:11		KJV	szamlalas	
1Kir 1:12	1:12		KJV	szamlalas	
1Kir 1:13	1:13		KJV	szamlalas	
1Kir 1:14	1:14		KJV	szamlalas	
1Kir 1:15	1:15		KJV	szamlalas	
1Kir 1:16	1:16		KJV	szamlalas	
1Kir 1:17	1:17		KJV	szamlalas	
1Kir 1:18	1:18		KJV	szamlalas	
1Kir 1:19	1:19		KJV	szamlalas	
1Kir 1:20	1:20		KJV	szamlalas	
1Kir 1:21	1:21		KJV	szamlalas	
1Kir 1:22	1:22		KJV	szamlalas	
1Kir 1:23	1:23		KJV	szamlalas	
1Kir 1:24	1:24		KJV	szamlalas	
1Kir 1:25	1:25		KJV	szamlalas	
1Kir 1:26	1:26		KJV	szamlalas	
1Kir 1:27	1:27		KJV	szamlalas	
1Kir 1:28	1:28		KJV	szamlalas	
1Kir 1:29	1:29		KJV	szamlalas	
1Kir 1:30	1:30		KJV	szamlalas	
1Kir 1:31	1:31		KJV	szamlalas	
1Kir 1:32	1:32		KJV	szamlalas	
1Kir 1:33	1:33		KJV	szamlalas	
1Kir 1:34	1:34		KJV	szamlalas	
1Kir 1:35	1:35		KJV	szamlalas	
1Kir 1:36	1:36		KJV	szamlalas	
1Kir 1:37	1:37		KJV	szamlalas	
1Kir 1:38	1:38		KJV	szamlalas	
1Kir 1:39	1:39		KJV	szamlalas	
1Kir 1:40	1:40		KJV	szamlalas	
1Kir 1:41	1:41		KJV	szamlalas	
1Kir 1:42	1:42		KJV	szamlalas	
1Kir 1:43	1:43		KJV	szamlalas	
1Kir 1:44	1:44		KJV	szamlalas	
1Kir 1:45	1:45		KJV	szamlalas	
1Kir 1:46	1:46		KJV	szamlalas	
1Kir 1:47	1:47		KJV	szamlalas	
1Kir 1:48	1:48		KJV	szamlalas	
1Kir 1:49	1:49		KJV	szamlalas	
1Kir 1:50	1:50		KJV	szamlalas	
1Kir 1:51	1:51		KJV	szamlalas	
1Kir 1:52	1:52		KJV	szamlalas	
1Kir 1:53	1:53		KJV	szamlalas	
1Kir 2:1	2:1		KJV	szamlalas	
1Kir 2:2	2:2		KJV	szamlalas	
1Kir 2:3	2:3		KJV	szamlalas	
1Kir 2:4	2:4		KJV	szamlalas	
1Kir 2:5	2:5		KJV	szamlalas	
1Kir 2:6	2:6		KJV	szamlalas	
1Kir 2:7	2:7		KJV	szamlalas	
1Kir 2:8	2:8		KJV	szamlalas	
1Kir 2:9	2:9		KJV	szamlalas	
1Kir 2:10	2:10		KJV	szamlalas	
1Kir 2:11	2:11		KJV	szamlalas	
1Kir 2:12	2:12		KJV	szamlalas	
1Kir 2:13	2:13		KJV	szamlalas	
1Kir 2:14	2:14		KJV	szamlalas	
1Kir 2:15	2:15		KJV	szamlalas	
1Kir 2:16	2:16		KJV	szamlalas	
1Kir 2:17	2:17		KJV	szamlalas	
1Kir 2:18	2:18		KJV	szamlalas	
1Kir 2:19	2:19		KJV	szamlalas	
1Kir 2:20	2:20		KJV	szamlalas	
1Kir 2:21	2:21		KJV	szamlalas	
1Kir 2:22	2:22		KJV	szamlalas	
1Kir 2:23	2:23		KJV	szamlalas	
1Kir 2:24	2:24		KJV	szamlalas	
1Kir 2:25	2:25		KJV	szamlalas	
1Kir 2:26	2:26		KJV	szamlalas	
1Kir 2:27	2:27		KJV	szamlalas	
1Kir 2:28	2:28		KJV	szamlalas	
1Kir 2:29	2:29		KJV	szamlalas	
1Kir 2:30	2:30		KJV	szamlalas	
1Kir 2:31	2:31		KJV	szamlalas	
1Kir 2:32	2:32		KJV	szamlalas	
1Kir 2:33	2:33		KJV	szamlalas	
1Kir 2:34	2:34		KJV	szamlalas	
1Kir 2:35	2:35		KJV	szamlalas	
1Kir 2:36	2:36		KJV	szamlalas	
1Kir 2:37	2:37		KJV	szamlalas	
1Kir 2:38	2:38		KJV	szamlalas	
1Kir 2:39	2:39		KJV	szamlalas	
1Kir 2:40	2:40		KJV	szamlalas	
1Kir 2:41	2:41		KJV	szamlalas	
1Kir 2:42	2:42		KJV	szamlalas	
1Kir 2:43	2:43		KJV	szamlalas	
1Kir 2:44	2:44		KJV	szamlalas	
1Kir 2:45	2:45		KJV	szamlalas	
1Kir 2:46	2:46		KJV	szamlalas	
1Kir 3:1	3:1		KJV	szamlalas	
1Kir 3:2	3:2		KJV	szamlalas	
1Kir 3:3	3:3		KJV	szamlalas	
1Kir 3:4	3:4		KJV	szamlalas	
1Kir 3:5	3:5		KJV	szamlalas	
1Kir 3:6	3:6		KJV	szamlalas	
1Kir 3:7	3:7		KJV	szamlalas	
1Kir 3:8	3:8		KJV	szamlalas	
1Kir 3:9	3:9		KJV	szamlalas	
1Kir 3:10	3:10		KJV	szamlalas	
1Kir 3:11	3:11		KJV	szamlalas	
1Kir 3:12	3:12		KJV	szamlalas	
1Kir 3:13	3:13		KJV	szamlalas	
1Kir 3:14	3:14		KJV	szamlalas	
1Kir 3:15	3:15		KJV	szamlalas	
1Kir 3:16	3:16		KJV	szamlalas	
1Kir 3:17	3:17		KJV	szamlalas	
1Kir 3:18	3:18		KJV	szamlalas	
1Kir 3:19	3:19		KJV	szamlalas	
1Kir 3:20	3:20		KJV	szamlalas	
1Kir 3:21	3:21		KJV	szamlalas	
1Kir 3:22	3:22		KJV	szamlalas	
1Kir 3:23	3:23		KJV	szamlalas	
1Kir 3:24	3:24		KJV	szamlalas	
1Kir 3:25	3:25		KJV	szamlalas	
1Kir 3:26	3:26		KJV	szamlalas	
1Kir 3:27	3:27		KJV	szamlalas	
1Kir 3:28	3:28		KJV	szamlalas	
1Kir 4:1	4:1		KJV	szamlalas	
1Kir 4:2	4:2		KJV	szamlalas	
1Kir 4:3	4:3		KJV	szamlalas	
1Kir 4:4	4:4		KJV	szamlalas	
1Kir 4:5	4:5		KJV	szamlalas	
1Kir 4:6	4:6		KJV	szamlalas	
1Kir 4:7	4:7		KJV	szamlalas	
1Kir 4:8	4:8		KJV	szamlalas	
1Kir 4:9	4:9		KJV	szamlalas	
1Kir 4:10	4:10		KJV	szamlalas	
1Kir 4:11	4:11		KJV	szamlalas	
1Kir 4:12	4:12		KJV	szamlalas	
1Kir 4:13	4:13		KJV	szamlalas	
1Kir 4:14	4:14		KJV	szamlalas	
1Kir 4:15	4:15		KJV	szamlalas	
1Kir 4:16	4:16		KJV	szamlalas	
1Kir 4:17	4:17		KJV	szamlalas	
1Kir 4:18	4:18		KJV	szamlalas	
1Kir 4:19	4:19		KJV	szamlalas	
1Kir 4:20	4:20		KJV	szamlalas	
1Kir 4:21	4:21		KJV	szamlalas	
1Kir 4:22	4:22		KJV	szamlalas	
1Kir 4:23	4:23		KJV	szamlalas	
1Kir 4:24	4:24		KJV	szamlalas	
1Kir 4:25	4:25		KJV	szamlalas	
1Kir 4:26	4:26		KJV	szamlalas	
1Kir 4:27	4:27		KJV	szamlalas	
1Kir 4:28	4:28		KJV	szamlalas	
1Kir 4:29	4:29		KJV	szamlalas	
1Kir 4:30	4:30		KJV	szamlalas	
1Kir 4:31	4:31		KJV	szamlalas	
1Kir 4:32	4:32		KJV	szamlalas	
1Kir 4:33	4:33		KJV	szamlalas	
1Kir 4:34	4:34		KJV	szamlalas	
1Kir 5:1	5:1		KJV	szamlalas	
1Kir 5:2	5:2		KJV	szamlalas	
1Kir 5:3	5:3		KJV	szamlalas	
1Kir 5:4	5:4		KJV	szamlalas	
1Kir 5:5	5:5		KJV	szamlalas	
1Kir 5:6	5:6		KJV	szamlalas	
1Kir 5:7	5:7		KJV	szamlalas	
1Kir 5:8	5:8		KJV	szamlalas	
1Kir 5:9	5:9		KJV	szamlalas	
1Kir 5:10	5:10		KJV	szamlalas	
1Kir 5:11	5:11		KJV	szamlalas	
1Kir 5:12	5:12		KJV	szamlalas	
1Kir 5:13	5:13		KJV	szamlalas	
1Kir 5:14	5:14		KJV	szamlalas	
1Kir 5:15	5:15		KJV	szamlalas	
1Kir 5:16	5:16		KJV	szamlalas	
1Kir 5:17	5:17		KJV	szamlalas	
1Kir 5:18	5:18		KJV	szamlalas	
1Kir 6:1	6:1	6:1	MT	tvtms	
1Kir 6:2	6:2	6:2	MT	tvtms	
1Kir 6:3	6:3	6:3	MT	tvtms	
1Kir 6:4	6:4	6:4	MT	tvtms	
1Kir 6:5	6:5	6:5	MT	tvtms	
1Kir 6:6	6:6	6:6	MT	tvtms	
1Kir 6:7	6:7	6:7	MT	tvtms	
1Kir 6:8	6:8	6:8	MT	tvtms	
1Kir 6:9	6:9	6:9	MT	tvtms	
1Kir 6:10	6:10	6:10	MT	tvtms	
1Kir 6:11		6:11	MT	szamlalas	
1Kir 6:12		6:12	MT	szamlalas	
1Kir 6:13		6:13	MT	szamlalas	
1Kir 6:14		6:14	MT	szamlalas	
