lxx_fajl	igehely_lxx
1-kings	1 Kings 22:43
1-kings	1 Kings 5:1
1-samuel	1 Samuel 20:42
1-samuel	1 Samuel 23:1
daniel	Daniel 3:1
daniel	Daniel 3:10
daniel	Daniel 3:11
daniel	Daniel 3:12
daniel	Daniel 3:13
daniel	Daniel 3:14
daniel	Daniel 3:15
daniel	Daniel 3:16
daniel	Daniel 3:17
daniel	Daniel 3:18
daniel	Daniel 3:19
daniel	Daniel 3:2
daniel	Daniel 3:20
daniel	Daniel 3:21
daniel	Daniel 3:22
daniel	Daniel 3:23
daniel	Daniel 3:3
daniel	Daniel 3:4
daniel	Daniel 3:5
daniel	Daniel 3:6
daniel	Daniel 3:7
daniel	Daniel 3:8
daniel	Daniel 3:9
daniel	Daniel 3:91
daniel	Daniel 3:92
daniel	Daniel 3:93
daniel	Daniel 3:94
daniel	Daniel 3:95
daniel	Daniel 3:96
daniel	Daniel 3:97
daniel-theodotion	Daniel (Theodotion) 3:1
daniel-theodotion	Daniel (Theodotion) 3:10
daniel-theodotion	Daniel (Theodotion) 3:11
daniel-theodotion	Daniel (Theodotion) 3:12
daniel-theodotion	Daniel (Theodotion) 3:13
daniel-theodotion	Daniel (Theodotion) 3:14
daniel-theodotion	Daniel (Theodotion) 3:15
daniel-theodotion	Daniel (Theodotion) 3:16
daniel-theodotion	Daniel (Theodotion) 3:17
daniel-theodotion	Daniel (Theodotion) 3:18
daniel-theodotion	Daniel (Theodotion) 3:19
daniel-theodotion	Daniel (Theodotion) 3:2
daniel-theodotion	Daniel (Theodotion) 3:20
daniel-theodotion	Daniel (Theodotion) 3:21
daniel-theodotion	Daniel (Theodotion) 3:22
daniel-theodotion	Daniel (Theodotion) 3:23
daniel-theodotion	Daniel (Theodotion) 3:3
daniel-theodotion	Daniel (Theodotion) 3:4
daniel-theodotion	Daniel (Theodotion) 3:5
daniel-theodotion	Daniel (Theodotion) 3:6
daniel-theodotion	Daniel (Theodotion) 3:7
daniel-theodotion	Daniel (Theodotion) 3:8
daniel-theodotion	Daniel (Theodotion) 3:9
daniel-theodotion	Daniel (Theodotion) 3:91
daniel-theodotion	Daniel (Theodotion) 3:92
daniel-theodotion	Daniel (Theodotion) 3:93
daniel-theodotion	Daniel (Theodotion) 3:94
daniel-theodotion	Daniel (Theodotion) 3:95
daniel-theodotion	Daniel (Theodotion) 3:96
daniel-theodotion	Daniel (Theodotion) 3:97
exodus	Exodus 35:1
exodus	Exodus 35:10
exodus	Exodus 35:11
exodus	Exodus 35:12
exodus	Exodus 35:13
exodus	Exodus 35:14
exodus	Exodus 35:16
exodus	Exodus 35:19
exodus	Exodus 35:2
exodus	Exodus 35:20
exodus	Exodus 35:21
exodus	Exodus 35:22
exodus	Exodus 35:23
exodus	Exodus 35:24
exodus	Exodus 35:25
exodus	Exodus 35:26
exodus	Exodus 35:27
exodus	Exodus 35:28
exodus	Exodus 35:29
exodus	Exodus 35:3
exodus	Exodus 35:30
exodus	Exodus 35:31
exodus	Exodus 35:32
exodus	Exodus 35:33
exodus	Exodus 35:34
exodus	Exodus 35:35
exodus	Exodus 35:4
exodus	Exodus 35:5
exodus	Exodus 35:6
exodus	Exodus 35:7
exodus	Exodus 35:9
exodus	Exodus 36:1
exodus	Exodus 36:2
exodus	Exodus 36:3
exodus	Exodus 36:4
exodus	Exodus 36:5
exodus	Exodus 36:6
exodus	Exodus 36:7
exodus	Exodus 37:1
exodus	Exodus 37:2
exodus	Exodus 37:3
exodus	Exodus 37:4
exodus	Exodus 37:5
exodus	Exodus 37:6
exodus	Exodus 38:10
exodus	Exodus 38:15
exodus	Exodus 38:22
exodus	Exodus 38:24
exodus	Exodus 38:27
exodus	Exodus 38:4
exodus	Exodus 38:9
exodus	Exodus 39:15
hosea	Hosea 11:1
hosea	Hosea 13:1
hosea	Hosea 13:10
hosea	Hosea 13:11
hosea	Hosea 13:12
hosea	Hosea 13:13
hosea	Hosea 13:14
hosea	Hosea 13:15
hosea	Hosea 13:2
hosea	Hosea 13:3
hosea	Hosea 13:4
hosea	Hosea 13:5
hosea	Hosea 13:6
hosea	Hosea 13:7
hosea	Hosea 13:8
hosea	Hosea 13:9
hosea	Hosea 14:1
hosea	Hosea 14:10
hosea	Hosea 14:2
hosea	Hosea 14:3
hosea	Hosea 14:4
hosea	Hosea 14:5
hosea	Hosea 14:6
hosea	Hosea 14:7
hosea	Hosea 14:8
hosea	Hosea 14:9
hosea	Hosea 2:10
hosea	Hosea 2:11
hosea	Hosea 2:12
hosea	Hosea 2:13
hosea	Hosea 2:14
hosea	Hosea 2:15
hosea	Hosea 2:16
hosea	Hosea 2:17
hosea	Hosea 2:18
hosea	Hosea 2:19
hosea	Hosea 2:20
hosea	Hosea 2:21
hosea	Hosea 2:22
hosea	Hosea 2:23
hosea	Hosea 2:24
hosea	Hosea 2:25
hosea	Hosea 2:3
hosea	Hosea 2:4
hosea	Hosea 2:5
hosea	Hosea 2:6
hosea	Hosea 2:7
hosea	Hosea 2:8
hosea	Hosea 2:9
isaiah	Isaiah 63:19
isaiah	Isaiah 64:1
isaiah	Isaiah 64:10
isaiah	Isaiah 64:11
isaiah	Isaiah 64:2
isaiah	Isaiah 64:3
isaiah	Isaiah 64:4
isaiah	Isaiah 64:5
isaiah	Isaiah 64:6
isaiah	Isaiah 64:7
isaiah	Isaiah 64:8
isaiah	Isaiah 64:9
isaiah	Isaiah 8:23
job-lxx	Job (LXX) 17:1
job-lxx	Job (LXX) 17:10
job-lxx	Job (LXX) 17:11
job-lxx	Job (LXX) 17:12
job-lxx	Job (LXX) 17:13
job-lxx	Job (LXX) 17:14
job-lxx	Job (LXX) 17:15
job-lxx	Job (LXX) 17:16
job-lxx	Job (LXX) 17:2
job-lxx	Job (LXX) 17:3
job-lxx	Job (LXX) 17:4
job-lxx	Job (LXX) 17:5
job-lxx	Job (LXX) 17:6
job-lxx	Job (LXX) 17:7
job-lxx	Job (LXX) 17:8
job-lxx	Job (LXX) 17:9
job-lxx	Job (LXX) 37:1
job-lxx	Job (LXX) 37:10
job-lxx	Job (LXX) 37:11
job-lxx	Job (LXX) 37:12
job-lxx	Job (LXX) 37:13
job-lxx	Job (LXX) 37:14
job-lxx	Job (LXX) 37:15
job-lxx	Job (LXX) 37:16
job-lxx	Job (LXX) 37:17
job-lxx	Job (LXX) 37:18
job-lxx	Job (LXX) 37:19
job-lxx	Job (LXX) 37:2
job-lxx	Job (LXX) 37:20
job-lxx	Job (LXX) 37:21
job-lxx	Job (LXX) 37:22
job-lxx	Job (LXX) 37:23
job-lxx	Job (LXX) 37:24
job-lxx	Job (LXX) 37:3
job-lxx	Job (LXX) 37:4
job-lxx	Job (LXX) 37:5
job-lxx	Job (LXX) 37:6
job-lxx	Job (LXX) 37:7
job-lxx	Job (LXX) 37:8
job-lxx	Job (LXX) 37:9
jonah	Jonah 1:1
numbers	Numbers 29:1
proverbs	Proverbs 12:1
proverbs	Proverbs 12:10
proverbs	Proverbs 12:11
proverbs	Proverbs 12:12
proverbs	Proverbs 12:13
proverbs	Proverbs 12:14
proverbs	Proverbs 12:15
proverbs	Proverbs 12:16
proverbs	Proverbs 12:17
proverbs	Proverbs 12:18
proverbs	Proverbs 12:19
proverbs	Proverbs 12:2
proverbs	Proverbs 12:20
proverbs	Proverbs 12:21
proverbs	Proverbs 12:22
proverbs	Proverbs 12:23
proverbs	Proverbs 12:24
proverbs	Proverbs 12:25
proverbs	Proverbs 12:26
proverbs	Proverbs 12:27
proverbs	Proverbs 12:28
proverbs	Proverbs 12:3
proverbs	Proverbs 12:4
proverbs	Proverbs 12:5
proverbs	Proverbs 12:6
proverbs	Proverbs 12:7
proverbs	Proverbs 12:8
proverbs	Proverbs 12:9
psalms-lxx	Psalms (LXX) 101:1
psalms-lxx	Psalms (LXX) 107:1
psalms-lxx	Psalms (LXX) 11:1
psalms-lxx	Psalms (LXX) 12:6
psalms-lxx	Psalms (LXX) 139:1
psalms-lxx	Psalms (LXX) 141:1
psalms-lxx	Psalms (LXX) 17:1
psalms-lxx	Psalms (LXX) 18:1
psalms-lxx	Psalms (LXX) 19:1
psalms-lxx	Psalms (LXX) 20:1
psalms-lxx	Psalms (LXX) 21:1
psalms-lxx	Psalms (LXX) 29:1
psalms-lxx	Psalms (LXX) 30:1
psalms-lxx	Psalms (LXX) 33:1
psalms-lxx	Psalms (LXX) 35:1
psalms-lxx	Psalms (LXX) 37:1
psalms-lxx	Psalms (LXX) 38:1
psalms-lxx	Psalms (LXX) 39:1
psalms-lxx	Psalms (LXX) 3:1
psalms-lxx	Psalms (LXX) 40:1
psalms-lxx	Psalms (LXX) 41:1
psalms-lxx	Psalms (LXX) 43:1
psalms-lxx	Psalms (LXX) 44:1
psalms-lxx	Psalms (LXX) 45:1
psalms-lxx	Psalms (LXX) 46:1
psalms-lxx	Psalms (LXX) 47:1
psalms-lxx	Psalms (LXX) 48:1
psalms-lxx	Psalms (LXX) 4:1
psalms-lxx	Psalms (LXX) 50:1
psalms-lxx	Psalms (LXX) 50:2
psalms-lxx	Psalms (LXX) 51:1
psalms-lxx	Psalms (LXX) 51:2
psalms-lxx	Psalms (LXX) 52:1
psalms-lxx	Psalms (LXX) 53:1
psalms-lxx	Psalms (LXX) 53:2
psalms-lxx	Psalms (LXX) 54:1
psalms-lxx	Psalms (LXX) 55:1
psalms-lxx	Psalms (LXX) 56:1
psalms-lxx	Psalms (LXX) 57:1
psalms-lxx	Psalms (LXX) 58:1
psalms-lxx	Psalms (LXX) 59:1
psalms-lxx	Psalms (LXX) 59:2
psalms-lxx	Psalms (LXX) 5:1
psalms-lxx	Psalms (LXX) 60:1
psalms-lxx	Psalms (LXX) 61:1
psalms-lxx	Psalms (LXX) 62:1
psalms-lxx	Psalms (LXX) 63:1
psalms-lxx	Psalms (LXX) 64:1
psalms-lxx	Psalms (LXX) 66:1
psalms-lxx	Psalms (LXX) 67:1
psalms-lxx	Psalms (LXX) 68:1
psalms-lxx	Psalms (LXX) 69:1
psalms-lxx	Psalms (LXX) 6:1
psalms-lxx	Psalms (LXX) 74:1
psalms-lxx	Psalms (LXX) 75:1
psalms-lxx	Psalms (LXX) 76:1
psalms-lxx	Psalms (LXX) 79:1
psalms-lxx	Psalms (LXX) 7:1
psalms-lxx	Psalms (LXX) 80:1
psalms-lxx	Psalms (LXX) 82:1
psalms-lxx	Psalms (LXX) 83:1
psalms-lxx	Psalms (LXX) 84:1
psalms-lxx	Psalms (LXX) 87:1
psalms-lxx	Psalms (LXX) 88:1
psalms-lxx	Psalms (LXX) 8:1
psalms-lxx	Psalms (LXX) 91:1
psalms-lxx	Psalms (LXX) 9:1
song-of-solomon	Song of Solomon 5:1
song-of-solomon	Song of Solomon 5:10
song-of-solomon	Song of Solomon 5:11
song-of-solomon	Song of Solomon 5:12
song-of-solomon	Song of Solomon 5:13
song-of-solomon	Song of Solomon 5:14
song-of-solomon	Song of Solomon 5:15
song-of-solomon	Song of Solomon 5:16
song-of-solomon	Song of Solomon 5:2
song-of-solomon	Song of Solomon 5:3
song-of-solomon	Song of Solomon 5:4
song-of-solomon	Song of Solomon 5:5
song-of-solomon	Song of Solomon 5:6
song-of-solomon	Song of Solomon 5:7
song-of-solomon	Song of Solomon 5:8
song-of-solomon	Song of Solomon 5:9
song-of-solomon	Song of Solomon 6:1
song-of-solomon	Song of Solomon 6:10
song-of-solomon	Song of Solomon 6:11
song-of-solomon	Song of Solomon 6:12
song-of-solomon	Song of Solomon 6:2
song-of-solomon	Song of Solomon 6:3
song-of-solomon	Song of Solomon 6:4
song-of-solomon	Song of Solomon 6:5
song-of-solomon	Song of Solomon 6:6
song-of-solomon	Song of Solomon 6:7
song-of-solomon	Song of Solomon 6:8
song-of-solomon	Song of Solomon 6:9
song-of-solomon	Song of Solomon 7:1
