lxx_fajl	igehely_lxx	ok
1-kings	1 Kings 5:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
1-kings	1 Kings 22:43	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
1-samuel	1 Samuel 20:42	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
1-samuel	1 Samuel 23:1	H5_VALODI_ELTERES_VAGY_CIMSOR_AMBIGUITAS
daniel-theodotion	Daniel (Theodotion) 3:1	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:2	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:3	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:4	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:5	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:6	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:7	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:8	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:9	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:10	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:11	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:12	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:13	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:14	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:15	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:16	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:17	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:18	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:19	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:20	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:21	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:22	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:23	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:91	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:92	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:93	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:94	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:95	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:96	H3_EGYIK_SEM
daniel-theodotion	Daniel (Theodotion) 3:97	H3_EGYIK_SEM
daniel	Daniel 3:1	H3_EGYIK_SEM
daniel	Daniel 3:2	H3_EGYIK_SEM
daniel	Daniel 3:3	H3_EGYIK_SEM
daniel	Daniel 3:4	H3_EGYIK_SEM
daniel	Daniel 3:5	H3_EGYIK_SEM
daniel	Daniel 3:6	H3_EGYIK_SEM
daniel	Daniel 3:7	H3_EGYIK_SEM
daniel	Daniel 3:8	H3_EGYIK_SEM
daniel	Daniel 3:9	H3_EGYIK_SEM
daniel	Daniel 3:10	H3_EGYIK_SEM
daniel	Daniel 3:11	H3_EGYIK_SEM
daniel	Daniel 3:12	H3_EGYIK_SEM
daniel	Daniel 3:13	H3_EGYIK_SEM
daniel	Daniel 3:14	H3_EGYIK_SEM
daniel	Daniel 3:15	H3_EGYIK_SEM
daniel	Daniel 3:16	H3_EGYIK_SEM
daniel	Daniel 3:17	H3_EGYIK_SEM
daniel	Daniel 3:18	H3_EGYIK_SEM
daniel	Daniel 3:19	H3_EGYIK_SEM
daniel	Daniel 3:20	H3_EGYIK_SEM
daniel	Daniel 3:21	H3_EGYIK_SEM
daniel	Daniel 3:22	H3_EGYIK_SEM
daniel	Daniel 3:23	H3_EGYIK_SEM
daniel	Daniel 3:91	H3_EGYIK_SEM
daniel	Daniel 3:92	H3_EGYIK_SEM
daniel	Daniel 3:93	H3_EGYIK_SEM
daniel	Daniel 3:94	H3_EGYIK_SEM
daniel	Daniel 3:95	H3_EGYIK_SEM
daniel	Daniel 3:96	H3_EGYIK_SEM
daniel	Daniel 3:97	H3_EGYIK_SEM
exodus	Exodus 35:1	H3_EGYIK_SEM
exodus	Exodus 35:2	H3_EGYIK_SEM
exodus	Exodus 35:3	H3_EGYIK_SEM
exodus	Exodus 35:4	H3_EGYIK_SEM
exodus	Exodus 35:5	H3_EGYIK_SEM
exodus	Exodus 35:6	H3_EGYIK_SEM
exodus	Exodus 35:7	H3_EGYIK_SEM
exodus	Exodus 35:9	H3_EGYIK_SEM
exodus	Exodus 35:10	H3_EGYIK_SEM
exodus	Exodus 35:11	H3_EGYIK_SEM
exodus	Exodus 35:12	H3_EGYIK_SEM
exodus	Exodus 35:13	H3_EGYIK_SEM
exodus	Exodus 35:14	H3_EGYIK_SEM
exodus	Exodus 35:16	H3_EGYIK_SEM
exodus	Exodus 35:19	H3_EGYIK_SEM
exodus	Exodus 35:20	H3_EGYIK_SEM
exodus	Exodus 35:21	H3_EGYIK_SEM
exodus	Exodus 35:22	H3_EGYIK_SEM
exodus	Exodus 35:23	H3_EGYIK_SEM
exodus	Exodus 35:24	H3_EGYIK_SEM
exodus	Exodus 35:25	H3_EGYIK_SEM
exodus	Exodus 35:26	H3_EGYIK_SEM
exodus	Exodus 35:27	H3_EGYIK_SEM
exodus	Exodus 35:28	H3_EGYIK_SEM
exodus	Exodus 35:29	H3_EGYIK_SEM
