lxx_igehely	most	tipus	bizonyitek
1 Samuel 21:1	1Sám 20:42	(b) fejezethatar_atlepes	nyers fejezet=21, karoli fejezet=20
Daniel (Theodotion) 4:1	Dán 3:31	(b) fejezethatar_atlepes	nyers fejezet=4, karoli fejezet=3
Daniel (Theodotion) 4:2	Dán 3:32	(b) fejezethatar_atlepes	nyers fejezet=4, karoli fejezet=3
Daniel (Theodotion) 4:3	Dán 3:33	(b) fejezethatar_atlepes	nyers fejezet=4, karoli fejezet=3
Ecclesiastes 1:18	Préd 2:1	(b) fejezethatar_atlepes	nyers fejezet=1, karoli fejezet=2
Ecclesiastes 8:16	Préd 9:1	(b) fejezethatar_atlepes	nyers fejezet=8, karoli fejezet=9
Ecclesiastes 8:17	Préd 9:2	(b) fejezethatar_atlepes	nyers fejezet=8, karoli fejezet=9
Ecclesiastes 10:1	Préd 9:21	(b) fejezethatar_atlepes	nyers fejezet=10, karoli fejezet=9
Ecclesiastes 10:2	Préd 9:22	(b) fejezethatar_atlepes	nyers fejezet=10, karoli fejezet=9
Ecclesiastes 10:3	Préd 9:23	(b) fejezethatar_atlepes	nyers fejezet=10, karoli fejezet=9
Ecclesiastes 11:9	Préd 12:1	(b) fejezethatar_atlepes	nyers fejezet=11, karoli fejezet=12
Ecclesiastes 11:10	Préd 12:2	(b) fejezethatar_atlepes	nyers fejezet=11, karoli fejezet=12
Job (LXX) 38:39	Jób 39:1	(b) fejezethatar_atlepes	nyers fejezet=38, karoli fejezet=39
Job (LXX) 38:40	Jób 39:2	(b) fejezethatar_atlepes	nyers fejezet=38, karoli fejezet=39
Job (LXX) 38:41	Jób 39:3	(b) fejezethatar_atlepes	nyers fejezet=38, karoli fejezet=39
Job (LXX) 40:1	Jób 39:34	(b) fejezethatar_atlepes	nyers fejezet=40, karoli fejezet=39
Job (LXX) 40:2	Jób 39:35	(b) fejezethatar_atlepes	nyers fejezet=40, karoli fejezet=39
Job (LXX) 40:3	Jób 39:36	(b) fejezethatar_atlepes	nyers fejezet=40, karoli fejezet=39
Job (LXX) 40:4	Jób 39:37	(b) fejezethatar_atlepes	nyers fejezet=40, karoli fejezet=39
Job (LXX) 40:5	Jób 39:38	(b) fejezethatar_atlepes	nyers fejezet=40, karoli fejezet=39
Numbers 12:16	4Móz 13:1	(b) fejezethatar_atlepes	nyers fejezet=12, karoli fejezet=13
Psalms (LXX) 11:2	Zsolt 12:2	(b) fejezethatar_atlepes	nyers fejezet=11, karoli fejezet=12
Psalms (LXX) 11:3	Zsolt 12:3	(b) fejezethatar_atlepes	nyers fejezet=11, karoli fejezet=12
Psalms (LXX) 11:4	Zsolt 12:4	(b) fejezethatar_atlepes	nyers fejezet=11, karoli fejezet=12
Psalms (LXX) 11:5	Zsolt 12:5	(b) fejezethatar_atlepes	nyers fejezet=11, karoli fejezet=12
