karoli_konyv	fejezet	n	r_m2	r_m1	r_0	r_p1	r_p2	horgony	dontes	indok	elfogadott_eltolas
1Kir	6	31	0.84	-0.17	-0.06	-0.13	0.03	H8010=Solomon	elfogad	korrelacio_korrekcio	-2
1Kir	22	49	-0.20	0.81	-0.18	0.09	-0.14	H3478=Israel	elfogad	korrelacio_korrekcio	-1
1Sám	17	32	-0.15	0.22	-0.04	0.15	0.26	H3478=Israel	ures	korrelacio_nem_elegseges	0
1Sám	18	19	0.04	0.87	-0.02	0.09	0.09	H1732=David	elfogad	korrelacio_korrekcio	-1
1Sám	20	42	-0.18	0.85	0.07	0.01	-0.20	H1732=David	elfogad	korrelacio_korrekcio	-1
1Sám	23	27	-0.03	0.18	-0.01	0.75	-0.15	H1732=David	elfogad	korrelacio_korrekcio	1
1Sám	24	22	-0.10	0.20	0.95	0.02	0.02	H1732=David	elfogad	korrelacio	0
4Móz	6	26	0.05	0.89	0.15	0.34	-0.19	H3478=Israel	elfogad	korrelacio_korrekcio	-1
4Móz	12	15	0.41	-0.67	0.86	-0.55	0.41	H4872=Moses	elfogad	korrelacio	0
4Móz	29	39	0.04	-0.16	-0.26	0.86	-0.12	nincs	elfogad	korrelacio_korrekcio	1
Hós	11	11	-0.12	-0.24	0.15	0.51	-0.35	H3478=Israel	ures	korrelacio_nem_elegseges	0
Jer	33	13	0.09	-0.06	0.34	-0.20	0.46	H3478=Israel	ures	korrelacio_nem_elegseges	0
Jer	48	44	0.15	-0.06	-0.16	-0.16	-0.13	H3478=Israel	ures	korrelacio_nem_elegseges	0
Jób	38	38	-0.05	-0.21	0.28	0.05	-0.03	H347=Job	ures	korrelacio_nem_elegseges	0
Jón	1	16	-0.15	0.29	-0.29	0.89	-0.24	nincs	elfogad	korrelacio_korrekcio	1
Jón	2	10	0.02	-0.23	0.93	-0.22	-0.03	nincs	elfogad	korrelacio	0
Józs	8	27	0.15	-0.13	-0.08	-0.11	-0.17	H3478=Israel	ures	korrelacio_nem_elegseges	0
Józs	10	41	-0.09	0.93	0.00	-0.02	-0.28	H3389=Jerusalem	elfogad	korrelacio_korrekcio	-1
Józs	13	32	-0.11	0.81	-0.26	0.23	-0.15	H3478=Israel	elfogad	korrelacio_korrekcio	-1
Préd	1	17	0.06	-0.08	0.92	-0.01	0.11	H3389=Jerusalem	elfogad	korrelacio	0
Préd	8	15	0.35	0.64	0.92	0.49	0.51	nincs	elfogad	korrelacio	0
Préd	11	8	-0.09	-0.32	0.94	-0.42	-0.26	nincs	elfogad	korrelacio	0
Péld	18	22	0.50	-0.17	0.04	-0.39	-0.03	nincs	ures	korrelacio_nem_elegseges	0
Ézs	3	26	0.20	-0.04	0.76	-0.12	0.12	H3389=Jerusalem	elfogad	korrelacio	0
Ézs	9	20	0.02	-0.14	-0.02	0.80	-0.04	nincs	elfogad	korrelacio_korrekcio	1
Ézs	56	11	0.61	0.74	0.19	-0.35	-0.35	H3478=Israel	ures	korrelacio_nem_elegseges	0
Ézs	63	18	-0.31	0.86	-0.34	0.25	-0.74	H3478=Israel	elfogad	korrelacio_korrekcio	-1
