# GENERÁLT: eszkozok/lxx_osszevetes.py — kézzel nem szerkesztendő.
id	igehely	strong	regi_talalat	uj_talalat	uj_szoalak	uj_lemma	megjegyzes
KIRALY-001	1Móz 14:18	G0740	igen	igen	ἄρτους	ἄρτος	egyezik
KIRALY-001	1Móz 14:18	G0935	igen	igen	βασιλεὺς	βασιλεύς	egyezik
KIRALY-001	1Móz 14:18	G1161	igen	igen	δὲ	δέ	egyezik
KIRALY-001	1Móz 14:18	G1510	igen	igen	ἦν	εἰμί	egyezik
KIRALY-001	1Móz 14:18	G1627	igen	igen	ἐξήνεγκεν	ἐκφέρω	egyezik
KIRALY-001	1Móz 14:18	G2316	igen	igen	θεοῦ	θεός	egyezik
KIRALY-001	1Móz 14:18	G2409	igen	igen	ἱερεὺς	ἱερεύς	egyezik
KIRALY-001	1Móz 14:18	G2532	igen	igen	καὶ	καί	egyezik
KIRALY-001	1Móz 14:18	G3198	igen	igen	Μελχισεδεκ	Μελχισεδεκ	egyezik
KIRALY-001	1Móz 14:18	G3588	igen	igen	τοῦ	ὁ	egyezik
KIRALY-001	1Móz 14:18	G3631	igen	igen	οἶνον	οἶνος	egyezik
KIRALY-001	1Móz 14:18	G4532	igen	igen	Σαλημ	Σαλημ	egyezik
KIRALY-001	1Móz 14:18	G5310	igen	igen	ὑψίστου	ὕψιστος	egyezik
KIRALY-001	1Móz 14:19	G1065	igen	nem			csak regi
KIRALY-001	1Móz 14:19	G1093	nem	igen	γῆν	γῆ	csak uj
KIRALY-001	1Móz 14:19	G2036	igen	nem			csak regi
KIRALY-001	1Móz 14:19	G2127	igen	igen	ηὐλόγησεν	εὐλογέω	egyezik
KIRALY-001	1Móz 14:19	G2316	igen	igen	θεῷ	θεός	egyezik
KIRALY-001	1Móz 14:19	G2532	igen	igen	καὶ	καί	egyezik
KIRALY-001	1Móz 14:19	G2936	igen	igen	ἔκτισεν	κτίζω	egyezik
KIRALY-001	1Móz 14:19	G3004	nem	igen	εἶπεν	λέγω	csak uj
KIRALY-001	1Móz 14:19	G3588	igen	igen	τὸν	ὁ	egyezik
KIRALY-001	1Móz 14:19	G3739	igen	igen	ὃς	ὅς	egyezik
KIRALY-001	1Móz 14:19	G3772	igen	igen	οὐρανὸν	οὐρανός	egyezik
KIRALY-001	1Móz 14:19	G5310	igen	igen	ὑψίστῳ	ὕψιστος	egyezik
KIRALY-001	1Móz 14:20	G0575	igen	igen	ἀπὸ	ἀπό	egyezik
KIRALY-001	1Móz 14:20	G0846	igen	igen	αὐτῷ	αὐτός	egyezik
KIRALY-001	1Móz 14:20	G1182	igen	igen	δεκάτην	δέκατος	egyezik
KIRALY-001	1Móz 14:20	G1325	igen	igen	ἔδωκεν	δίδωμι	egyezik
KIRALY-001	1Móz 14:20	G2128	igen	igen	εὐλογητὸς	εὐλογητός	egyezik
KIRALY-001	1Móz 14:20	G2190	igen	igen	ἐχθρούς	ἐχθρός	egyezik
KIRALY-001	1Móz 14:20	G2316	igen	igen	θεὸς	θεός	egyezik
KIRALY-001	1Móz 14:20	G2532	igen	igen	καὶ	καί	egyezik
KIRALY-001	1Móz 14:20	G3588	igen	igen	ὁ	ὁ	egyezik
KIRALY-001	1Móz 14:20	G3739	igen	igen	ὃς	ὅς	egyezik
KIRALY-001	1Móz 14:20	G3860	igen	igen	παρέδωκεν	παραδίδωμι	egyezik
KIRALY-001	1Móz 14:20	G3956	igen	igen	πάντων	πᾶς	egyezik
KIRALY-001	1Móz 14:20	G4771	igen	igen	σου	σύ	egyezik
KIRALY-001	1Móz 14:20	G5310	igen	igen	ὕψιστος	ὕψιστος	egyezik
KIRALY-001	Zsolt 76:3	G1473	nem	igen	μου	ἐγώ	csak uj
KIRALY-001	Zsolt 76:3	G1563	igen	nem			csak regi
KIRALY-001	Zsolt 76:3	G2165	nem	igen	εὐφράνθην	εὐφραίνω	csak uj
KIRALY-001	Zsolt 76:3	G2316	nem	igen	θεοῦ	θεός	csak uj
KIRALY-001	Zsolt 76:3	G2532	igen	igen	καὶ	καί	egyezik
KIRALY-001	Zsolt 76:3	G2904	igen	nem			csak regi
KIRALY-001	Zsolt 76:3	G3403	nem	igen	ἐμνήσθην	μιμνήσκω	csak uj
KIRALY-001	Zsolt 76:3	G3588	igen	igen	τοῦ	ὁ	egyezik
KIRALY-001	Zsolt 76:3	G3696	igen	nem			csak regi
KIRALY-001	Zsolt 76:3	G4151	nem	igen	πνεῦμά	πνεῦμα	csak uj
KIRALY-001	Zsolt 76:3	G4171	igen	nem			csak regi
KIRALY-001	Zsolt 76:3	G4501	igen	nem			csak regi
KIRALY-001	Zsolt 76:3	G4937	igen	nem			csak regi
KIRALY-001	Zsolt 76:3	G5115	igen	nem			csak regi
KIRALY-001	2Móz 19:6	G0040	igen	igen	ἅγιον	ἅγιος	egyezik
KIRALY-001	2Móz 19:6	G0934	igen	igen	βασίλειον	βασίλειος	egyezik
KIRALY-001	2Móz 19:6	G1161	igen	igen	δὲ	δέ	egyezik
KIRALY-001	2Móz 19:6	G1473	igen	igen	μοι	ἐγώ	egyezik
KIRALY-001	2Móz 19:6	G1484	igen	igen	ἔθνος	ἔθνος	egyezik
KIRALY-001	2Móz 19:6	G1510	igen	igen	ἔσεσθέ	εἰμί	egyezik
KIRALY-001	2Móz 19:6	G2046	igen	nem			csak regi
KIRALY-001	2Móz 19:6	G2406	igen	igen	ἱεράτευμα	ἱεράτευμα	egyezik
KIRALY-001	2Móz 19:6	G2474	igen	nem			csak regi
KIRALY-001	2Móz 19:6	G2532	igen	igen	καὶ	καί	egyezik
KIRALY-001	2Móz 19:6	G3004	nem	igen	ἐρεῖς	λέγω	csak uj
KIRALY-001	2Móz 19:6	G3588	igen	igen	τὰ	ὁ	egyezik
KIRALY-001	2Móz 19:6	G3778	igen	igen	ταῦτα	οὗτος	egyezik
KIRALY-001	2Móz 19:6	G4487	igen	igen	ῥήματα	ῥῆμα	egyezik
KIRALY-001	2Móz 19:6	G4771	igen	igen	ὑμεῖς	σύ	egyezik
KIRALY-001	2Móz 19:6	G5207	igen	igen	υἱοῖς	υἱός	egyezik
KIRALY-001	Zsolt 110:4	G0165	igen	nem			csak regi
KIRALY-001	Zsolt 110:4	G0846	nem	igen	αὐτοῦ	αὐτός	csak uj
KIRALY-001	Zsolt 110:4	G1510	igen	nem			csak regi
KIRALY-001	Zsolt 110:4	G1519	igen	nem			csak regi
KIRALY-001	Zsolt 110:4	G1655	nem	igen	ἐλεήμων	ἐλεήμων	csak uj
KIRALY-001	Zsolt 110:4	G2297	nem	igen	θαυμασίων	θαυμάσιος	csak uj
KIRALY-001	Zsolt 110:4	G2409	igen	nem			csak regi
KIRALY-001	Zsolt 110:4	G2532	igen	igen	καὶ	καί	egyezik
KIRALY-001	Zsolt 110:4	G2596	igen	nem			csak regi
KIRALY-001	Zsolt 110:4	G2962	igen	igen	κύριος	κύριος	egyezik
KIRALY-001	Zsolt 110:4	G3364	igen	nem			csak regi
KIRALY-001	Zsolt 110:4	G3417	nem	igen	μνείαν	μνεία	csak uj
KIRALY-001	Zsolt 110:4	G3588	igen	igen	τῶν	ὁ	egyezik
KIRALY-001	Zsolt 110:4	G3629	nem	igen	οἰκτίρμων	οἰκτίρμων	csak uj
KIRALY-001	Zsolt 110:4	G4160	nem	igen	ἐποιήσατο	ποιέω	csak uj
KIRALY-001	Zsolt 110:4	G4771	igen	nem			csak regi
KIRALY-001	Zsolt 110:4	G5010	igen	nem			csak regi
KIRALY-001	Zak 6:13	G0303	igen	nem			csak regi
KIRALY-001	Zak 6:13	G0703	igen	igen	ἀρετὴν	ἀρετή	egyezik
KIRALY-001	Zak 6:13	G0846	igen	igen	αὐτὸς	αὐτός	egyezik
KIRALY-001	Zak 6:13	G1012	igen	igen	βουλὴ	βουλή	egyezik
KIRALY-001	Zak 6:13	G1188	igen	igen	δεξιῶν	δεξιός	egyezik
KIRALY-001	Zak 6:13	G1510	igen	igen	ἔσται	εἰμί	egyezik
KIRALY-001	Zak 6:13	G1516	igen	igen	εἰρηνικὴ	εἰρηνικός	egyezik
KIRALY-001	Zak 6:13	G1537	igen	igen	ἐκ	ἐκ	egyezik
KIRALY-001	Zak 6:13	G1909	igen	igen	ἐπὶ	ἐπί	egyezik
KIRALY-001	Zak 6:13	G2362	igen	igen	θρόνου	θρόνος	egyezik
KIRALY-001	Zak 6:13	G2409	igen	igen	ἱερεὺς	ἱερεύς	egyezik
KIRALY-001	Zak 6:13	G2521	nem	igen	καθίεται	κάθημαι	csak uj
KIRALY-001	Zak 6:13	G2523	igen	nem			csak regi
KIRALY-001	Zak 6:13	G2532	igen	igen	καὶ	καί	egyezik
KIRALY-001	Zak 6:13	G2677	igen	nem			csak regi
KIRALY-001	Zak 6:13	G2983	igen	igen	λήμψεται	λαμβάνω	egyezik
KIRALY-001	Zak 6:13	G3319	igen	igen	μέσον	μέσος	egyezik
KIRALY-001	Zak 6:13	G3588	igen	igen	τοῦ	ὁ	egyezik
ISTENTISZT-001	1Móz 4:26	G0846	igen	igen	αὐτοῦ	αὐτός	egyezik
ISTENTISZT-001	1Móz 4:26	G1096	igen	igen	ἐγένετο	γίνομαι	egyezik
ISTENTISZT-001	1Móz 4:26	G1161	igen	igen	δὲ	δέ	egyezik
ISTENTISZT-001	1Móz 4:26	G1679	igen	igen	ἤλπισεν	ἐλπίζω	egyezik
ISTENTISZT-001	1Móz 4:26	G1800	nem	igen	Ενως	Ενως	csak uj
ISTENTISZT-001	1Móz 4:26	G1941	igen	igen	ἐπικαλεῖσθαι	ἐπικαλέω	egyezik
ISTENTISZT-001	1Móz 4:26	G2028	nem	igen	ἐπωνόμασεν	ἐπονομάζω	csak uj
ISTENTISZT-001	1Móz 4:26	G2316	igen	igen	θεοῦ	θεός	egyezik
ISTENTISZT-001	1Móz 4:26	G2532	igen	igen	καὶ	καί	egyezik
ISTENTISZT-001	1Móz 4:26	G2962	igen	igen	κυρίου	κύριος	egyezik
ISTENTISZT-001	1Móz 4:26	G3588	igen	igen	τῷ	ὁ	egyezik
ISTENTISZT-001	1Móz 4:26	G3686	igen	igen	ὄνομα	ὄνομα	egyezik
ISTENTISZT-001	1Móz 4:26	G3778	igen	igen	οὗτος	οὗτος	egyezik
ISTENTISZT-001	1Móz 4:26	G4589	igen	igen	Σηθ	Σηθ	egyezik
ISTENTISZT-001	1Móz 4:26	G5207	igen	igen	υἱός	υἱός	egyezik
ISTENTISZT-001	1Móz 12:8	G0395	igen	igen	ἀνατολὰς	ἀνατολή	egyezik
ISTENTISZT-001	1Móz 12:8	G0846	igen	igen	αὐτοῦ	αὐτός	egyezik
ISTENTISZT-001	1Móz 12:8	G0868	igen	igen	ἀπέστη	ἀφίστημι	egyezik
ISTENTISZT-001	1Móz 12:8	G1519	igen	igen	εἰς	εἰς	egyezik
ISTENTISZT-001	1Móz 12:8	G1563	igen	igen	ἐκεῖ	ἐκεῖ	egyezik
ISTENTISZT-001	1Móz 12:8	G1564	igen	igen	ἐκεῖθεν	ἐκεῖθεν	egyezik
ISTENTISZT-001	1Móz 12:8	G1909	igen	igen	ἐπὶ	ἐπί	egyezik
ISTENTISZT-001	1Móz 12:8	G1941	igen	igen	ἐπεκαλέσατο	ἐπικαλέω	egyezik
ISTENTISZT-001	1Móz 12:8	G2281	igen	igen	θάλασσαν	θάλασσα	egyezik
ISTENTISZT-001	1Móz 12:8	G2379	igen	igen	θυσιαστήριον	θυσιαστήριον	egyezik
ISTENTISZT-001	1Móz 12:8	G2476	igen	igen	ἔστησεν	ἵστημι	egyezik
ISTENTISZT-001	1Móz 12:8	G2532	igen	igen	καὶ	καί	egyezik
ISTENTISZT-001	1Móz 12:8	G2596	igen	igen	κατ᾿	κατά	egyezik
ISTENTISZT-001	1Móz 12:8	G2962	igen	igen	κυρίῳ	κύριος	egyezik
ISTENTISZT-001	1Móz 12:8	G3588	igen	igen	τὸ	ὁ	egyezik
ISTENTISZT-001	1Móz 12:8	G3618	igen	igen	ᾠκοδόμησεν	οἰκοδομέω	egyezik
ISTENTISZT-001	1Móz 12:8	G3686	igen	igen	ὀνόματι	ὄνομα	egyezik
ISTENTISZT-001	1Móz 12:8	G3735	igen	igen	ὄρος	ὄρος	egyezik
ISTENTISZT-001	1Móz 12:8	G4633	igen	igen	σκηνὴν	σκηνή	egyezik
ISTENTISZT-001	1Móz 13:4	G0746	igen	igen	ἀρχήν	ἀρχή	egyezik
ISTENTISZT-001	1Móz 13:4	G1519	igen	igen	εἰς	εἰς	egyezik
ISTENTISZT-001	1Móz 13:4	G1563	igen	igen	ἐκεῖ	ἐκεῖ	egyezik
ISTENTISZT-001	1Móz 13:4	G1941	igen	igen	ἐπεκαλέσατο	ἐπικαλέω	egyezik
ISTENTISZT-001	1Móz 13:4	G2379	igen	igen	θυσιαστηρίου	θυσιαστήριον	egyezik
ISTENTISZT-001	1Móz 13:4	G2532	igen	igen	καὶ	καί	egyezik
ISTENTISZT-001	1Móz 13:4	G2962	igen	igen	κυρίου	κύριος	egyezik
ISTENTISZT-001	1Móz 13:4	G3364	igen	nem			csak regi
ISTENTISZT-001	1Móz 13:4	G3588	igen	igen	τὸν	ὁ	egyezik
ISTENTISZT-001	1Móz 13:4	G3686	igen	igen	ὄνομα	ὄνομα	egyezik
ISTENTISZT-001	1Móz 13:4	G3739	nem	igen	οὗ	ὅς	csak uj
ISTENTISZT-001	1Móz 13:4	G4160	igen	igen	ἐποίησεν	ποιέω	egyezik
ISTENTISZT-001	1Móz 13:4	G5117	igen	igen	τόπον	τόπος	egyezik
ISTENTISZT-001	1Móz 21:33	G0011	igen	igen	Αβρααμ	Αβρααμ	egyezik
ISTENTISZT-001	1Móz 21:33	G0166	igen	igen	αἰώνιος	αἰώνιος	egyezik
ISTENTISZT-001	1Móz 21:33	G1563	igen	igen	ἐκεῖ	ἐκεῖ	egyezik
ISTENTISZT-001	1Móz 21:33	G1909	igen	igen	ἐπὶ	ἐπί	egyezik
ISTENTISZT-001	1Móz 21:33	G1941	igen	igen	ἐπεκαλέσατο	ἐπικαλέω	egyezik
ISTENTISZT-001	1Móz 21:33	G2316	igen	igen	θεὸς	θεός	egyezik
ISTENTISZT-001	1Móz 21:33	G2532	igen	igen	καὶ	καί	egyezik
ISTENTISZT-001	1Móz 21:33	G2962	igen	igen	κυρίου	κύριος	egyezik
ISTENTISZT-001	1Móz 21:33	G3588	igen	igen	τῷ	ὁ	egyezik
ISTENTISZT-001	1Móz 21:33	G3686	igen	igen	ὄνομα	ὄνομα	egyezik
ISTENTISZT-001	1Móz 21:33	G3727	igen	igen	ὅρκου	ὅρκος	egyezik
ISTENTISZT-001	1Móz 21:33	G5421	igen	igen	φρέατι	φρέαρ	egyezik
ISTENTISZT-001	1Móz 21:33	G5452	igen	igen	ἐφύτευσεν	φυτεύω	egyezik
ISTENTISZT-001	1Móz 26:25	G0846	igen	igen	αὐτοῦ	αὐτός	egyezik
ISTENTISZT-001	1Móz 26:25	G1161	igen	igen	δὲ	δέ	egyezik
ISTENTISZT-001	1Móz 26:25	G1563	igen	igen	ἐκεῖ	ἐκεῖ	egyezik
ISTENTISZT-001	1Móz 26:25	G1941	igen	igen	ἐπεκαλέσατο	ἐπικαλέω	egyezik
ISTENTISZT-001	1Móz 26:25	G2379	igen	igen	θυσιαστήριον	θυσιαστήριον	egyezik
ISTENTISZT-001	1Móz 26:25	G2464	igen	igen	Ισαακ	Ισαακ	egyezik
ISTENTISZT-001	1Móz 26:25	G2532	igen	igen	καὶ	καί	egyezik
ISTENTISZT-001	1Móz 26:25	G2962	igen	igen	κυρίου	κύριος	egyezik
ISTENTISZT-001	1Móz 26:25	G3588	igen	igen	τὸ	ὁ	egyezik
ISTENTISZT-001	1Móz 26:25	G3618	igen	igen	ᾠκοδόμησεν	οἰκοδομέω	egyezik
ISTENTISZT-001	1Móz 26:25	G3686	igen	igen	ὄνομα	ὄνομα	egyezik
ISTENTISZT-001	1Móz 26:25	G3736	igen	igen	ὤρυξαν	ὀρύσσω	egyezik
ISTENTISZT-001	1Móz 26:25	G3816	igen	igen	παῖδες	παῖς	egyezik
ISTENTISZT-001	1Móz 26:25	G4078	igen	igen	ἔπηξεν	πήγνυμι	egyezik
ISTENTISZT-001	1Móz 26:25	G4633	igen	igen	σκηνὴν	σκηνή	egyezik
ISTENTISZT-001	1Móz 26:25	G5421	igen	igen	φρέαρ	φρέαρ	egyezik
ISTENTISZT-001	1Kir 18:24	G0611	igen	igen	ἀπεκρίθησαν	ἀποκρίνομαι	egyezik
ISTENTISZT-001	1Kir 18:24	G0994	igen	igen	βοᾶτε	βοάω	egyezik
ISTENTISZT-001	1Kir 18:24	G1437	igen	igen	ἐὰν	ἐάν	egyezik
ISTENTISZT-001	1Kir 18:24	G1473	igen	igen	ἐγὼ	ἐγώ	egyezik
ISTENTISZT-001	1Kir 18:24	G1510	igen	igen	ἔσται	εἰμί	egyezik
ISTENTISZT-001	1Kir 18:24	G1722	igen	igen	ἐν	ἐν	egyezik
ISTENTISZT-001	1Kir 18:24	G1873	nem	igen	ἐπακούσῃ	ἐπακούω	csak uj
ISTENTISZT-001	1Kir 18:24	G1941	igen	igen	ἐπικαλέσομαι	ἐπικαλέω	egyezik
ISTENTISZT-001	1Kir 18:24	G2316	igen	igen	θεῶν	θεός	egyezik
ISTENTISZT-001	1Kir 18:24	G2532	igen	igen	καὶ	καί	egyezik
ISTENTISZT-001	1Kir 18:24	G2570	igen	igen	καλὸν	καλός	egyezik
ISTENTISZT-001	1Kir 18:24	G2962	igen	igen	κυρίου	κύριος	egyezik
ISTENTISZT-001	1Kir 18:24	G2980	igen	igen	ἐλάλησας	λαλέω	egyezik
ISTENTISZT-001	1Kir 18:24	G2992	igen	igen	λαὸς	λαός	egyezik
ISTENTISZT-001	1Kir 18:24	G3004	nem	igen	εἶπον	λέγω	csak uj
ISTENTISZT-001	1Kir 18:24	G3588	igen	igen	τοῦ	ὁ	egyezik
ISTENTISZT-001	1Kir 18:24	G3686	igen	igen	ὀνόματι	ὄνομα	egyezik
ISTENTISZT-001	1Kir 18:24	G3739	igen	igen	ὃς	ὅς	egyezik
ISTENTISZT-001	1Kir 18:24	G3778	igen	igen	οὗτος	οὗτος	egyezik
ISTENTISZT-001	1Kir 18:24	G3956	igen	igen	πᾶς	πᾶς	egyezik
ISTENTISZT-001	1Kir 18:24	G4442	igen	igen	πυρί	πῦρ	egyezik
ISTENTISZT-001	1Kir 18:24	G4487	igen	igen	ῥῆμα	ῥῆμα	egyezik
ISTENTISZT-001	1Kir 18:24	G4771	igen	igen	ὑμῶν	σύ	egyezik
ISTENTISZT-001	1Kir 18:25	G0152	igen	igen	αἰσχύνης	αἰσχύνη	egyezik
ISTENTISZT-001	1Kir 18:25	G1438	igen	igen	ἑαυτοῖς	ἑαυτοῦ	egyezik
ISTENTISZT-001	1Kir 18:25	G1519	igen	igen	ἕνα	εἷς	egyezik
ISTENTISZT-001	1Kir 18:25	G1586	nem	igen	ἐκλέξασθε	ἐκλέγω	csak uj
ISTENTISZT-001	1Kir 18:25	G1722	igen	igen	ἐν	ἐν	egyezik
ISTENTISZT-001	1Kir 18:25	G1941	igen	igen	ἐπικαλέσασθε	ἐπικαλέω	egyezik
ISTENTISZT-001	1Kir 18:25	G2007	igen	igen	ἐπιθῆτε	ἐπιτίθημι	egyezik
ISTENTISZT-001	1Kir 18:25	G2243	nem	igen	Ηλιου	Ἠλίας	csak uj
ISTENTISZT-001	1Kir 18:25	G2316	igen	igen	θεοῦ	θεός	egyezik
ISTENTISZT-001	1Kir 18:25	G2532	igen	igen	καὶ	καί	egyezik
ISTENTISZT-001	1Kir 18:25	G3004	nem	igen	εἶπεν	λέγω	csak uj
ISTENTISZT-001	1Kir 18:25	G3165	igen	nem			csak regi
ISTENTISZT-001	1Kir 18:25	G3361	nem	igen	μὴ	μή	csak uj
ISTENTISZT-001	1Kir 18:25	G3448	igen	igen	μόσχον	μόσχος	egyezik
ISTENTISZT-001	1Kir 18:25	G3588	igen	igen	τοῖς	ὁ	egyezik
ISTENTISZT-001	1Kir 18:25	G3686	igen	igen	ὀνόματι	ὄνομα	egyezik
ISTENTISZT-001	1Kir 18:25	G3754	igen	igen	ὅτι	ὅτι	egyezik
