# N14.1 munkalap -- adat/jeloltek.tsv alakjában. Sema: adat/SEMA.md 2.4
id	igehely	forras_kereses	dontes	indoklas	karoli_szo	azonositas_modja	megbizhatosag	datum
HAMART-001	1Móz 3:14	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אָרוּר (*árúr*) — az átok első kimondása, a kígyóra				2026.09.11
HAMART-001	1Móz 3:16	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	עִצְּבוֹנֵךְ (*itzevónékh*) — a fájdalom az asszonyra				2026.09.11
HAMART-001	1Móz 3:17	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲרוּרָה הָאֲדָמָה בַּעֲבוּרֶךָ (*arúrá há'adamá ba'avúrekhá*) — nem az ember átkoztatik meg, hanem a **föld** miatta; a következmény az elkövetőn kívülre lép				2026.09.11
HAMART-001	1Móz 3:18	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	קוֹץ וְדַרְדַּר (*kóc vedardar*) — tövis és bogáncs mint az átkozott föld terméke				2026.09.11
HAMART-001	1Móz 3:19	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (*adamá*) — a föld, amelybe visszatér, és amelyhez kiűzetve odaköttetik				2026.09.11
HAMART-001	1Móz 3:23	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (*adamá*) — a föld, amelybe visszatér, és amelyhez kiűzetve odaköttetik				2026.09.11
HAMART-001	1Móz 4:2-3	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (*adamá*) — Kain "földmívelő", és a földből hozza áldozatát: az átkozott föld a testvéri konfliktus színtere				2026.09.11
HAMART-001	1Móz 4:7	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	חַטָּאת — a "bűn" szó **első előfordulása** a Szentírásban, nem áldozatként, hanem az ajtóban leselkedő hatalomként				2026.09.11
HAMART-001	1Móz 4:10-11	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אָרוּר אַתָּה מִן־הָאֲדָמָה (*árúr attá min-há'adamá*) — **fokozás**: most már nem a föld, hanem a személy az átok alanya, és éppen a föld felől; ugyanaz a két szó, felcserélt szereposztásban				2026.09.11
HAMART-001	1Móz 4:12	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (*adamá*) — a föld megtagadja termőerejét, és Kain elűzetik róla: a 3:17-19 büntetés megismételve, szigorítva				2026.09.11
HAMART-001	1Móz 4:14	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (*adamá*) — a föld megtagadja termőerejét, és Kain elűzetik róla: a 3:17-19 büntetés megismételve, szigorítva				2026.09.11
HAMART-001	1Móz 5:29	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	A lánc forgópontja: Lámek Noé névadásában egyetlen mondatban idézi vissza mindhárom kulcsszót — עִצְּבוֹן (*itzevón*) + אֲדָמָה (*adamá*) + אֵרְרָהּ יְהוָה (*érerá JHVH*, Pi'él) —, és vigasztalást vár alóla				2026.09.11
HAMART-001	1Móz 6:5	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	רָעָה / רַע (*rá'á* / *ra*) — a diagnózis kiterjesztése: a gonoszság nem tettekben, hanem a szív minden gondolat-alkotásában				2026.09.11
HAMART-001	1Móz 6:7	négyforrásos audit a napló §7 szerint, retroaktív N14 betöltés	beépítve	אֲדָמָה (*adamá*) — "eltörlöm az embert a **föld színéről**": a következmény visszatér ahhoz a szóhoz, amellyel 3:17-ben elindult				2026.09.11
