id	fajl	fejlec_szint	fejlec	bajtmeret_a_kovetkezo_fejlecig
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	1	Melkizedek — király-pap rendje, kenyér és bor	54
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	2	Tematikus PaRDeS-tanulmány (`4_PaRDeS_tematikus_sablon.md` v12 szerint)	1813
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	2	0. Forrás-összegyűjtés a meglévő anyagból	1825
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	2	1. Előfordulások összegyűjtése	6009
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	2	2. Eredeti nyelvi összevetés	11263
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	2	3. A PaRDeS keretrendszer — a motívum egészére alkalmazva	10756
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	2	4. Kapcsolódás a kutatási sablonhoz	785
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	2	5. Alkalmazás és tanítványság	39
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	3	A nevesített tanítói egyezés-keresés eredménye	3043
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	2	6. Napló-frissítés	1309
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	3	Minőségi kapu (Quality Gate) — a Lezárási checklist előtt, `4_PaRDeS_tematikus_sablon.md` szerint	1708
KIRALY-001	tematikus_lezart/Melkizedek_tematikus.md	3	Lezárási checklist (a `4_PaRDeS_tematikus_sablon.md` v12 szerint)	2607
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	1	Tematikus PaRDeS tanulmány — "Segítségül hívni az Úr nevét" (קָרָא בְשֵׁם יְהוָה, *kará beshém Adonáj*)	1656
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	2	0. Forrás-összegyűjtés a meglévő anyagból (retroaktívan pótolva, 2026.09.05)	1126
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	2	1. Előfordulások összegyűjtése	13169
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	2	1/b. Kapcsolatok — a KAPCSOLATOK Típus-mező szerint strukturálva	3592
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	2	2. Eredeti nyelvi összevetés	5281
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	2	3. A PaRDeS keretrendszer — a motívum egészére alkalmazva	2623
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	2	4. Kapcsolódás a kutatási sablonhoz	281
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	2	5. Alkalmazás és tanítványság	39
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	3	A nevesített tanítói egyezés-keresés eredménye (öt lépéses módszertan szerint)	3413
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	2	6. Napló-frissítés	3446
ISTENTISZT-001	tematikus_lezart/Segitsegul_hivni_az_Urat_tematikus.md	3	Minőségi kapu (Quality Gate) — retroaktívan pótolva, 2026.09.08 (`4_PaRDeS_tematikus_sablon.md` szerint)	2225
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	1	Tehóm (תְּהוֹם) — Abüsszosz (ἄβυσσος): a mélység motívuma, a teremtés visszafordítása és helyreállítása	135
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	3	Önálló tematikus PaRDeS-tanulmány (`4_PaRDeS_tematikus_sablon.md` v14 szerint)	1919
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	0. Forrás-összegyűjtés a meglévő anyagból (retroaktívan pótolva, 2026.09.10)	887
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	1. Előfordulások összegyűjtése	3414
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	2. Eredeti nyelvi összevetés	2338
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	2/b. Kiterjesztés — a tehóm teljes bibliai előfordulási mezője	3744
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	2/c. Görög visszhang — a teljes ábüσσος-tábla (ÓSZ⇒ÚSZ, LXX-közvetített)	925
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	3. A PaRDeS keretrendszer — magára a motívumra alkalmazva	6953
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	4. Kapcsolódás a kutatási sablonhoz	585
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	5. Alkalmazás és tanítványság	803
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	3	Minőségi kapu (Quality Gate) — 2026.09.10 (`4_PaRDeS_tematikus_sablon.md` v14 szerint)	1789
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	6. Napló-frissítési javaslat	937
TEREMT-001	tematikus_lezart/Tehom_tematikus.md	2	Önellenőrzés	711
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	1	Hádész (Seól) — a halottak birodalma	44
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	Tematikus PaRDeS-tanulmány (`4_PaRDeS_tematikus_sablon.md` v14 szerint)	1324
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	0. Forrás-összegyűjtés a meglévő anyagból (retroaktívan pótolva, 2026.09.10)	1155
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	1. Előfordulások összegyűjtése	1457
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	2. Eredeti nyelvi összevetés	645
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	2/b. Kiterjesztés — a seól teljes bibliai előfordulási mezője	6304
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	3. A PaRDeS keretrendszer — a motívum egészére alkalmazva	2872
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	4. Kapcsolódás a kutatási sablonhoz	474
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	5. Alkalmazás és tanítványság	695
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	6. Napló-frissítés	671
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	2	Önellenőrzés	643
ALVIL-001	tematikus_lezart/Hadesz_Seol_tematikus.md	3	Minőségi kapu (Quality Gate) — 2026.09.10 (`4_PaRDeS_tematikus_sablon.md` v14 szerint)	2020
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	1	Tematikus PaRDeS-tanulmány: "Isten fiai — Nefilim — Gibborim" motívum-komplexum	1847
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	2	Mikor és miért készült	791
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	2	0. Forrás-összegyűjtés a meglévő anyagból (retroaktívan pótolva, 2026.09.10)	1433
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	2	1. Előfordulások összegyűjtése	3274
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	2	2. Eredeti nyelvi összevetés *(lexikai motívum)*	3358
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	2	3. A PaRDeS keretrendszer — a motívum egészére alkalmazva	4062
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	3	⚠️ Vitatott pont — az azonosítás kérdése	1900
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	2	4. Kapcsolódás a kutatási sablonhoz	578
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	2	5. Alkalmazás és tanítványság *(pünkösdi/karizmatikus szemszögből, explicit kérésre)*	2751
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	3	Minőségi kapu (Quality Gate) — retroaktívan pótolva, 2026.09.10 (`4_PaRDeS_tematikus_sablon.md` v14 szerint)	1898
MENNY-001	tematikus_lezart/Isten_fiai_Nefilim_Gibborim_tematikus.md	2	6. Napló-frissítés	1770
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	1	Pneuma/pszükhé megkülönböztetés — Tematikus PaRDeS tanulmány	551
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	2	1. Előfordulások összegyűjtése	1450
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	2	2. Eredeti nyelvi összevetés	3287
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	2	3. A PaRDeS keretrendszer — magára a motívumra alkalmazva	5460
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	2	4. Kapcsolódás a kutatási sablonhoz	1193
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	2	5. Alkalmazás és tanítványság	221
