fajl	blokk	nyelv	tipus	strong	szo	atirat
lexikon/ALVIL-001_TUDOMANYOS.md	jelmagyarazat	gorog	alak		π	pneuma
lexikon/ALVIL-001_TUDOMANYOS.md	jelmagyarazat	gorog	alak		ψ	pszükhé
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadou
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadou
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadē
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadēn
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadēn
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadou
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadēs
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadēs
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hádész
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'o.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'Ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			She.ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			sh.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'Ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			sh.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			sh.'o.la
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			sh.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			sh.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			sh.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'ol
