# RENDER 2. menet -- lexikon/torzscikk diff-osztalyozas (R2.6). Sema: fajl, kategoria, sorok_szama.
fajl	kategoria	sorok_szama
lexikon/ALVIL-001_TORZSCIKK.md	torzscikk_res	42
lexikon/ALVIL-001_TUDOMANYOS.md	adat_res	1
lexikon/ALVIL-001_TUDOMANYOS.md	fejlec	2
lexikon/ALVIL-001_TUDOMANYOS.md	jeloles	1
lexikon/ALVIL-001_TUDOMANYOS.md	kivonat	1
lexikon/ALVIL-001_TUDOMANYOS.md	tanulmany	118
lexikon/ANTROP-001_TORZSCIKK.md	torzscikk_res	15
lexikon/ANTROP-001_TUDOMANYOS.md	adat_res	1
lexikon/ANTROP-001_TUDOMANYOS.md	fejlec	2
lexikon/ANTROP-001_TUDOMANYOS.md	jeloles	1
lexikon/ANTROP-001_TUDOMANYOS.md	kivonat	1
lexikon/ANTROP-001_TUDOMANYOS.md	tanulmany	38
lexikon/HAMART-001_TORZSCIKK.md	torzscikk_res	144
lexikon/HAMART-001_TUDOMANYOS.md	adat_res	1
lexikon/HAMART-001_TUDOMANYOS.md	fejlec	2
lexikon/HAMART-001_TUDOMANYOS.md	jeloles	1
lexikon/HAMART-001_TUDOMANYOS.md	kivonat	1
lexikon/HAMART-001_TUDOMANYOS.md	naplo	2
lexikon/HAMART-001_TUDOMANYOS.md	tanulmany	179
lexikon/HODIT-001_TORZSCIKK.md	torzscikk_res	52
lexikon/HODIT-001_TUDOMANYOS.md	adat_res	1
lexikon/HODIT-001_TUDOMANYOS.md	fejlec	2
lexikon/HODIT-001_TUDOMANYOS.md	jeloles	1
lexikon/HODIT-001_TUDOMANYOS.md	kivonat	1
lexikon/HODIT-001_TUDOMANYOS.md	tanulmany	66
lexikon/ISTENTISZT-001_TUDOMANYOS.md	jeloles	1
lexikon/ISTENTISZT-001_TUDOMANYOS.md	naplo	7
lexikon/KIRALY-001_TORZSCIKK.md	torzscikk_res	62
lexikon/KIRALY-001_TUDOMANYOS.md	adat_res	1
lexikon/KIRALY-001_TUDOMANYOS.md	fejlec	2
lexikon/KIRALY-001_TUDOMANYOS.md	jeloles	1
lexikon/KIRALY-001_TUDOMANYOS.md	kivonat	1
lexikon/KIRALY-001_TUDOMANYOS.md	naplo	10
lexikon/KIRALY-001_TUDOMANYOS.md	tanulmany	83
lexikon/MENNY-001_TORZSCIKK.md	torzscikk_res	51
lexikon/MENNY-001_TUDOMANYOS.md	adat_res	1
lexikon/MENNY-001_TUDOMANYOS.md	fejlec	2
lexikon/MENNY-001_TUDOMANYOS.md	jeloles	1
lexikon/MENNY-001_TUDOMANYOS.md	kivonat	1
lexikon/MENNY-001_TUDOMANYOS.md	tanulmany	68
lexikon/TEREMT-001_TORZSCIKK.md	torzscikk_res	55
lexikon/TEREMT-001_TUDOMANYOS.md	adat_res	1
lexikon/TEREMT-001_TUDOMANYOS.md	fejlec	2
lexikon/TEREMT-001_TUDOMANYOS.md	jeloles	1
lexikon/TEREMT-001_TUDOMANYOS.md	kivonat	1
lexikon/TEREMT-001_TUDOMANYOS.md	tanulmany	112

# Osszesito kategorianként:
# tanulmany	664
# kivonat	7
# fejlec	14
# naplo	19
# jeloles	8
# torzscikk_res	421
# adat_res	7
