nyelv	szo	kiejtes	hely
gorog	πικαλέω	epikaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλέω	epikaleó, G1941	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλέω	kaleó, G2564	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	βοάω	boaó, G994	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πρός τινα	prosz tina	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλέω	epikaleó, G1941	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλέω	kaleó, G2564	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	βοάω	boaó, G994	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	ν Βριάρεων καλέουσι θεοί	hon Briareón kaleúszi theoi	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	νομα καλεῖν τινα	onoma kalein tina	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	νομα ἐπί τινι	k. onoma epi tini	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	τινὰ ἐπὶ τῷ ὀνόματι τοῦ πατρός	k. tina epi tó onomati tú patrosz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλούμενος	ho kalúmenosz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλέω	epikaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	γω	agó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	ναβοάω	anaboaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	ναγγέλλω	anangelló	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	ναγινώσκω	anaginószkó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	νακράζω	anakradzó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	νοίγω	anoigó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	γκαλέω	enkaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	κηρύσσω	kérüsszó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	κράζω	kradzó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	νομάζω	onomadzó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	παρακαλέω	parakaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	προσκαλέομαι	proszkaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	φωνέω	fóneó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	θρόνος	thronosz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλός	kalosz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καύχημα	kaukhéma	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	Σήμ	Szém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	βοάω	boaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	βοάω	boaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	βοάω	boaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	τόν κύριον	ton kürion	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	βοάω	boaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλεῖται τό ὄνομα τίνος ἐπί τινα	epikaleitai to onoma
tinosz epi tina	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
gorog	πικαλουμένους	epikalúmenúsz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	קָרָא בְּשֵׁם יְהוָה	kárá besém JHVH	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	זָכַר	zákar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	מָצָא	mácá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	נָקַב	nákav	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	עָשָׂה	ászá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שׂוּם	szúm	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שָׁכַן	sákan	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שֻׁם	sum	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	אָמַר	ámar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	בֹּוא	bó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	דָבַר	dávar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	הָיָה	hájá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	זָכַר	zákar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	זָעַק	záak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	לָקַח	lákah	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	עֲלַל	alal	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	רוּם	rúm	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שֵׁם	sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	אָמַר	ámar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	הָגָה	hágá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	הָמָה	hámá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	זָעַק	záak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	זַעַק	zaak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	כָּנָה	káná	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
