# S0.6 atiras-lista tisztitasa. Forras: naplok/RENDER_R0_atirasok.tsv (936 tetel).
# Az "alak" kategoria (896 tetel) szetvalasztva a "blokk" mezo alapjan:
#   blokk=lxx -> lxx_idezet (347); blokk=elofordulasok -> igeszoveg (386);
#   blokk=szocikkek/kolofon/kizart/jelmagyarazat -> egyeb (163).
# "lemma" tipusu sorok (40 tetel) valtozatlanul athozva, kategoria=nem_alkalmazhato.
# Hamis-gyanus szures: a jelmagyarazat-blokk 1-2 karakteres "szo" mezoi (pl. gorog
# betujelek pi/pszi/delta a jelmagyarazatban) NEM valodi szoalakok, cimke-jellegűek;
# a kizart blokk mar eleve a forras sajat kizarasi jelolese.
fajl	blokk	nyelv	tipus	strong	szo	atirat	kategoria	hamis_besorolas
lexikon/ALVIL-001_TUDOMANYOS.md	jelmagyarazat	gorog	alak		π	pneuma	egyeb	hamis_gyanus — jelmagyarazat-cimke, nem valodi szoalak
lexikon/ALVIL-001_TUDOMANYOS.md	jelmagyarazat	gorog	alak		ψ	pszükhé	egyeb	hamis_gyanus — jelmagyarazat-cimke, nem valodi szoalak
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadou	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadou	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadē	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadēn	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadēn	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadou	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadēs	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadēs	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hádész	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	gorog	alak		δ	hadész	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'o.la	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la	igeszoveg	valodinak_tekintve
lexikon/ALVIL-001_TUDOMANYOS.md	elofordulasok	heber	alak			she.'O.la	igeszoveg	valodinak_tekintve
