# S0.1 kiegeszito meres: UBS DBH JSON (UBSHebrewDic-v0.9.2-en.JSON) a 24 H-tokenre.
# Forras: ubsicap/ubs-open-license (letoltve halozatrol, SHA-256 ellenorizve a
# konkordancia/SDBH_SDGNT_README.md szerint, majd ideiglenes konyvtarbol torolve —
# nyers adat nem kerult a repoba, a CLAUDE.md szabalya szerint). A meres az
# eszkozok/sdbh_sdgnt_import.py process_dictionary logikajat hasznalja, csak
# olvas. Cel: minden H-tokenre megvan-e jelentes, definicio, glossza,
# jelentesenkenti igehely-lista — az S5 (teljes import) elofeltetele.
strong	jelentesek_szama	definicio	glossza	igehely_szamok_jelentesenkent	szotari_bejegyzesek_szama
H0127	2	van	van	[225, 1]	1
H0430	10	van	van	[182, 1386, 1067, 77, 4, 2, 1, 1, 5, 1]	1
H0779	2	van	van	[57, 6]	1
H1121	15	van	van	[4315, 70, 3, 244, 27, 190, 3, 59, 2, 40, 3, 1, 1, 1, 9]	2
H2403	7	van	van	[2, 2, 171, 2, 3, 2, 120]	2
H2416	12	van	van	[220, 19, 1, 4, 1, 96, 10, 2, 1, 1, 1, 148]	3
H2555	3	van	van	[57, 2, 1]	1
H3548	1	van	van	[750]	1
H3678	3	van	van	[43, 5, 88]	1
H4467	3	van	van	[32, 77, 8]	1
H5303	1	van	van	[3]	1
H5315	7	van	van	[11, 2, 606, 18, 104, 15, 1]	1
H6093	1	van	van	[3]	1
H6975	2	van	van	[12, 1]	1
H7043	11	van	van	[4, 6, 9, 9, 2, 43, 1, 1, 1, 4, 2]	1
H7121	19	van	van	[244, 48, 3, 7, 35, 168, 4, 102, 107, 21, 7, 2, 122, 10, 1, 2, 2, 1, 1]	1
H7451	9	van	van	[21, 41, 8, 4, 65, 210, 126, 2, 185]	2
H7496	2	van	van	[8, 19]	1
H7497	4	van	van	[8, 19, 4, 1]	2
H7585	1	van	van	[65]	1
H7843	7	van	van	[5, 114, 4, 5, 16, 1, 3]	1
H8004	6	van	van	[10, 2, 14, 1, 1, 2]	1
H8034	5	van	van	[510, 54, 128, 172, 17]	1
H8415	2	van	van	[33, 3]	1
# Osszesites: 24/24 token mind rendelkezik legalabb egy jelentessel; minden
# jelentesnek van angol definicioja es glosszaja; a jelentesenkenti igehely-
# lista (LEXReferences hossza) minden jelentesnel megvan (>=1). Az S5 (teljes
# import) elofeltetele — "az S0.1 igazolja a jelentesenkenti igehelyeket" —
# teljesul mind a 24 tokenre.
