# S0.5 kiejtes-tesztkeszlet tisztitasa. Forras: naplok/RENDER_kiejtes_tesztkeszlet.tsv (200 par).
# "arany": a 99 (98+1, helyreallitott beagyazott sortores miatt tortre szakadt sor) kezi,
# ISTENTISZT-001-bol szarmazo par, mind valodinak tekintve (emberi, ellenorzott forras).
# "valodi"/"hamis" a tovabbi 101 par heurisztikus besorolasa: hamis, ha a kiejtes mezo
# tobb mint 5 szot tartalmaz, mondatvegi/roviditespontot visel, vagy strong-kodon kivuli
# szamjegyet tartalmaz — ezek tobbnyire roviditett latin idezet-forma (pl. "t. onoma"), nem
# valodi, onallo kiejtes-par. Ez automata elozetes trias; kezi vegso megerosites az S1.2/S1.3-e.
nyelv	szo	kiejtes	hely	besorolas	indok
gorog	πικαλέω	epikaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλέω	epikaleó, G1941	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλέω	kaleó, G2564	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	βοάω	boaó, G994	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πρός τινα	prosz tina	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλέω	epikaleó, G1941	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλέω	kaleó, G2564	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	βοάω	boaó, G994	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	ν Βριάρεων καλέουσι θεοί	hon Briareón kaleúszi theoi	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
