# T1.1 munkalap (TEREMT002_KUTATAS_BRIEF.md) -- adat/auditok.tsv alakjában, betöltés a T1.3-ban. Sema: adat/SEMA.md 2.9
id	lepes	proveniencia	datum
TEREMT-002	B2	scope=range:1Móz 1:2+Jer 4:23+Ézs 34:11 | forras=TAHOT_kivonat.tsv | n=2 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes | forras=TAHOT_kivonat.tsv | strong=H8414 | n=19 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes | forras=TAHOT_kivonat.tsv | strong=H0922 | n=3 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H0922 | n=3 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H0657 | n=2 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H0205 | n=2 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H7385 | n=1 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H1892 | n=1 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H6957 | n=1 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H0068 | n=1 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H0216 | n=1 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H4057 | n=1 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H8077 | n=0 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H0950 | n=0 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H8414+H1238 | n=0 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H0922+H1238 | n=0 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes+TAGNT-teljes | forras=TAGNT_kivonat.tsv+TAHOT_kivonat.tsv | strong=H0950+H4003 | n=1 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B4	scope=TAHOT-teljes | forras=TAHOT_kivonat.tsv | strong=H1238 | n=9 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B3	scope=SDBH-v0.9.2 | forras=SDBH_domenek.tsv+SDBH_SDGNT_anomaliak.tsv | strong=H8414+H0922 | n=1 | ts=2026-09-25T11:02Z	2026.09.25
TEREMT-002	B3	scope=SDBH-v0.9.2 | forras=SDBH_domenek.tsv+SDBH_SDGNT_anomaliak.tsv | strong=H8414 | n=2 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B3	scope=SDBH-v0.9.2 | forras=SDBH_domenek.tsv+SDBH_SDGNT_anomaliak.tsv | strong=H0922 | n=1 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:1Móz 1:2 | forras=LXX_kivonat_Genezis.tsv+TAGNT_kivonat.tsv | n=19 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:1Sám 12:21 | forras=LXX_kivonat_Samuel_1.tsv+TAGNT_kivonat.tsv | n=18 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:5Móz 32:10 | forras=LXX_kivonat_Deuteronomium.tsv+TAGNT_kivonat.tsv | n=21 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Jer 4:23 | forras=LXX_kivonat_Jeremias.tsv+TAGNT_kivonat.tsv | n=17 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Jób 6:18 | forras=LXX_kivonat_Job.tsv+TAGNT_kivonat.tsv | n=10 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Jób 12:24 | forras=LXX_kivonat_Job.tsv+TAGNT_kivonat.tsv | n=11 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Jób 26:7 | forras=LXX_kivonat_Job.tsv+TAGNT_kivonat.tsv | n=8 | ts=2026-09-25T11:03Z	2026.09.25
