# T1.1: lekérdezés-találatok, amelyek NEM jelöltek (a nem-mag versek TSK/Károli-KH célpontjai, igealak, mező-kollokáció). Jelöltté léptetésük gate-kérdés (T1_TEREMT002_gate.md).
igehely	forras_kereses
1Ján 3:16	TSK Ján 10:11 (Votes=26)
1Kir 14:10	TSK 2Kir 21:13 (Votes=2); TSK Ézs 14:23 (Votes=4)
1Kir 18:26	TSK Ézs 44:9 (Votes=4)
1Kir 18:40	TSK Ézs 44:9 (Votes=4)
1Kir 21:19	TSK Zsolt 107:40 (Votes=3)
1Kir 21:21	TSK 2Kir 21:13 (Votes=1)
1Kir 21:24	TSK 2Kir 21:13 (Votes=1)
1Kor 12:4	TSK Ézs 40:14 (Votes=1)
1Kor 12:6	TSK Ézs 40:14 (Votes=1)
1Kor 13:12	TSK Jób 26:14 (Votes=5)
1Kor 13:9	TSK Jób 26:14 (Votes=5)
1Kor 5:5	TSK ApCsel 2:20 (Votes=3)
1Kor 8:4	TSK 1Sám 12:21 (Votes=3); TSK Ézs 44:9 (Votes=4)
1Krón 18:2	TSK 2Sám 8:2 (Votes=2)
1Krón 22:5	TSK 1Móz 33:13 (Votes=2)
1Krón 28:8	TSK Ézs 45:19 (Votes=3)
1Móz 11:9	TSK Ézs 24:10 (Votes=2)
1Móz 13:15	TSK 4Móz 11:12 (Votes=1)
1Móz 15:13-16	Károli-KH (forrás-vers: ApCsel 2:19)
1Móz 15:14	Károli-KH (forrás-vers: ApCsel 2:20)
1Móz 18:25	TSK Jel 20:11 (Votes=3)
1Móz 19:28	TSK Jóel 2:30 (Votes=2)
1Móz 19:36-37	Károli-KH (forrás-vers: 2Sám 8:2)
1Móz 1:1	TSK Jób 26:7 (Votes=10); TSK Zsolt 33:6 (Votes=7)
1Móz 1:14	TSK Ez 32:8 (Votes=3)
1Móz 1:26	TSK Ézs 45:18 (Votes=5)
1Móz 1:28	TSK Ézs 45:18 (Votes=4)
1Móz 1:6	TSK Zsolt 33:6 (Votes=9)
1Móz 1:6-7	Károli-KH (forrás-vers: Zsolt 33:6)
1Móz 22:16	TSK 4Móz 11:12 (Votes=2)
1Móz 22:17	TSK 4Móz 11:12 (Votes=2)
1Móz 26:3	TSK 4Móz 11:12 (Votes=3)
1Móz 29:30	TSK Mal 1:3 (Votes=1)
1Móz 29:31	TSK Mal 1:3 (Votes=1)
1Móz 2:1	TSK Zsolt 33:6 (Votes=13)
1Móz 2:7	TSK Zsolt 33:6 (Votes=11)
1Móz 31:39	TSK Ján 10:11 (Votes=12)
1Móz 31:40	TSK Ján 10:11 (Votes=12)
1Móz 4:8	Károli-KH (forrás-vers: Mk 13:24)
1Móz 50:24	TSK 4Móz 11:12 (Votes=3)
1Móz 6:7	TSK Zsolt 33:6 (Votes=8)
1Móz 9:1	TSK Ézs 45:18 (Votes=4)
1Pét 1:25	TSK Mt 24:35 (Votes=313)
1Pét 2:24	TSK Ján 10:11 (Votes=33)
1Pét 2:25	TSK Ján 10:11 (Votes=33)
1Pét 5:4	TSK Ján 10:11 (Votes=17)
1Sám 10:27	TSK 2Sám 8:2 (Votes=3)
1Sám 14:47	TSK 2Sám 8:2 (Votes=2)
1Sám 15:29	TSK Jóel 3:16 (Votes=4)
1Sám 17:34	TSK Ez 34:12-16 (Votes=0); TSK Ján 10:11 (Votes=15)
1Sám 17:35	TSK Ez 34:12-16 (Votes=0); TSK Ján 10:11 (Votes=15)
1Sám 2:10	TSK Jób 26:14 (Votes=5)
1Sám 5:9	TSK Zsolt 107:40 (Votes=3)
1Sám 6:4	TSK Zsolt 107:40 (Votes=3)
1Thessz 2:7	TSK 4Móz 11:12 (Votes=5)
1Thessz 5:2	TSK ApCsel 2:20 (Votes=7)
2Kir 10:11	TSK 2Kir 21:13 (Votes=3)
2Kir 17:3	TSK 2Sám 8:2 (Votes=2)
2Kir 17:6	TSK 2Kir 21:13 (Votes=2)
2Kir 1:1	TSK 2Sám 8:2 (Votes=2)
2Kir 21:13-14	Károli-KH (forrás-vers: Sir 2:8)
2Kir 25:1-11	Károli-KH (forrás-vers: Ez 34:12-16)
2Kir 25:10	TSK Ézs 24:10 (Votes=2)
2Kir 25:4	TSK Ézs 24:10 (Votes=2)
2Kir 25:9	TSK Ézs 24:10 (Votes=2)
2Kir 3:27	TSK 2Sám 8:2 (Votes=2)
2Kir 3:4	TSK 2Sám 8:2 (Votes=2)
2Kir 9:22	TSK Jel 18:23 (Votes=3)
2Kir 9:35	TSK Zsolt 107:40 (Votes=3)
2Kir 9:37	TSK Zsolt 107:40 (Votes=3)
2Kor 12:11	TSK Ézs 40:17 (Votes=0)
2Kor 12:15	TSK Ézs 49:4 (Votes=3)
2Kor 2:15	TSK Ézs 49:4 (Votes=3)
2Kor 4:4	TSK Ézs 44:9 (Votes=4)
2Krón 15:2	TSK Ézs 45:19 (Votes=2)
2Krón 17:11	TSK Ézs 13:20 (Votes=2)
2Krón 26:8	TSK 2Sám 8:2 (Votes=2)
2Krón 7:16	Károli-KH (forrás-vers: Jer 9:10)
2Móz 10:21	TSK Ez 32:7 (Votes=3); TSK Ámós 8:9 (Votes=3); TSK Ézs 5:30 (Votes=2)
2Móz 10:23	TSK Ez 32:7 (Votes=3); TSK Ámós 8:9 (Votes=3); TSK Ézs 5:30 (Votes=2)
2Móz 13:5	TSK 4Móz 11:12 (Votes=5)
2Móz 15:21	TSK Ézs 24:23 (Votes=2)
2Móz 15:5	TSK Jel 18:21 (Votes=2)
2Móz 19:16-19	Károli-KH (forrás-vers: Ézs 45:19)
2Móz 28:1-14	Károli-KH (forrás-vers: Ézs 45:19)
2Móz 8:17	TSK Zsolt 107:40 (Votes=3)
2Móz 8:24	TSK Zsolt 107:40 (Votes=3)
2Móz 8:3	TSK Zsolt 107:40 (Votes=3)
2Pét 2:20	Károli-KH (forrás-vers: Sof 2:14)
2Pét 2:3	TSK Ézs 13:22 (Votes=2)
2Pét 3:10	TSK Mt 24:29 (Votes=9); TSK Mk 13:24 (Votes=3); TSK Luk 21:25 (Votes=11); TSK Luk 21:26 (Votes=4); TSK ApCsel 2:20 (Votes=10); TSK Jel 20:11 (Votes=10); TSK Ézs 13:22 (Votes=2); Károli-KH (forrás-vers: Mt 24:29)
2Pét 3:12	TSK Mk 13:24 (Votes=2); TSK Luk 21:25 (Votes=11); TSK Luk 21:26 (Votes=4); TSK Mt 24:35 (Votes=99); TSK Jel 20:11 (Votes=10)
2Pét 3:5	TSK Zsolt 33:6 (Votes=18)
2Pét 3:7	TSK ApCsel 2:20 (Votes=5); TSK Mt 24:35 (Votes=99); TSK Jel 20:11 (Votes=12)
2Pét 3:9	TSK Ézs 13:22 (Votes=2)
2Sám 12:31	TSK 2Sám 8:2 (Votes=2)
2Sám 18:14	Károli-KH (forrás-vers: Jóel 2:10)
2Sám 19:8	Károli-KH (forrás-vers: Jóel 2:10)
2Sám 1:23	Károli-KH (forrás-vers: Ézs 13:22)
2Sám 24:17	TSK Ján 10:11 (Votes=23)
2Sám 8:12	TSK 2Sám 8:2 (Votes=2)
2Sám 8:14	TSK 2Sám 8:2 (Votes=2)
2Sám 8:6	TSK 2Sám 8:2 (Votes=3)
2Tim 2:25	TSK Zsolt 80:6-7 (Votes=2)
2Tim 2:26	TSK Zsolt 80:6-7 (Votes=2)
3Móz 11:13	TSK Jel 18:2 (Votes=3)
3Móz 11:19	TSK Jel 18:2 (Votes=3)
3Móz 26:20	TSK Ézs 49:4 (Votes=2)
3Móz 26:36	TSK Luk 21:26 (Votes=5)
4Móz 23:19	TSK Ézs 45:19 (Votes=13); TSK Mt 24:35 (Votes=269)
4Móz 23:20	TSK Ézs 45:19 (Votes=13)
4Móz 24:17	TSK 2Sám 8:2 (Votes=5); Károli-KH (forrás-vers: 2Sám 8:2)
5Móz 11:16	TSK 1Sám 12:21 (Votes=4)
5Móz 11:6	TSK Ézs 24:19 (Votes=3)
5Móz 21:15	TSK Mal 1:3 (Votes=2)
5Móz 21:16	TSK Mal 1:3 (Votes=2)
5Móz 27:15	TSK Ézs 44:9 (Votes=3)
